hour,p_vital_mw,p_nonvital_mw,p_load_mw,p_pv_mw,v_kn,p_propulsion_mw,p_ess_mw,energy_ess_mwh,soc,p_g1_mw,p_g2_mw,eeoi,co2_g1,co2_g2,cost_g1,cost_g2,cost_ess,cost_pv
0,5.500000,1.400000,6.900000,0.000000,10.921541728604,2.865989065784,-0.073588780423,37.569909341402,0.500932124552,3.857009164308,5.982568681899,7.382226781261,689.403107506084,923.102849325022,669.678865987922,837.207437233630,1.023285826998,0.000000000000
1,7.300000,1.900000,9.200000,0.000000,10.255668213529,2.373091959017,0.132800662200,37.430119170664,0.499068255609,4.273518593754,7.166772703062,8.834351998721,739.285161748236,1072.758497859872,718.700718350163,979.757861641498,1.075834868288,0.000000000000
2,7.900000,2.000000,9.900000,0.000000,10.152717129162,2.302340427515,0.659570360548,36.735834580613,0.489811127742,4.346314280702,7.196455786265,8.988634645510,748.484188466559,1076.697110198424,727.731593114646,983.518375480835,2.870642160210,0.000000000000
3,9.700000,2.400000,12.100000,0.000000,9.318629864890,1.780241277791,1.101420335077,35.576444754216,0.474352596723,4.573180816929,8.205640125784,10.699678425424,778.070575757681,1216.056282639692,756.759945999375,1116.822441884986,6.216445044444,0.000000000000
4,10.200000,2.600000,12.800000,0.000000,9.375596808164,1.813090358025,1.826867350778,33.653426490240,0.448712353203,4.389804539284,8.396418467963,10.653400119638,754.048227949900,1243.591455205472,733.192645081910,1143.212944397692,15.351010564552,0.000000000000
5,12.100000,3.100000,15.200000,0.600000,9.054356768710,1.633034988588,1.888976438575,31.665030239108,0.422200403188,5.396676708691,8.947381841322,12.272433709611,897.142380311572,1325.237484231689,873.373673979891,1221.553193183755,16.343397537621,6.120000000000
6,13.000000,3.300000,16.300000,1.050000,8.993769627989,1.600471548352,2.101647249648,29.452769976321,0.392703599684,5.241096430740,9.507727867964,12.701880514529,873.243703557729,1411.512040240526,849.991350521050,1304.465673032740,19.992760996391,10.710000000000
7,12.000000,3.000000,15.000000,1.400000,9.391158964098,1.822133767816,1.674670813088,27.689958594123,0.369199447922,4.991214673254,8.756248281474,11.355272414645,836.227169578323,1296.556196953010,813.753486967579,1194.018707264163,13.059446028492,14.280000000000
8,12.100000,3.000000,15.100000,2.250000,9.454483979769,1.859243071196,1.052336501580,26.582235960881,0.354429812812,4.915728917707,8.741177651910,11.209958387366,825.376564874156,1294.310874870440,803.125827313381,1191.863808958982,5.761872083995,22.950000000000
9,11.300000,2.900000,14.200000,1.550000,10.011394653796,2.207529044077,1.501084480383,25.002147034162,0.333361960455,5.161316042629,8.195128521065,10.367148357201,861.242134866965,1214.550137900928,838.245175306273,1115.379366774541,10.688994854165,15.810000000000
10,9.200000,2.300000,11.500000,1.650000,10.368364349015,2.452186126977,0.822476657683,24.136382131338,0.321818428418,4.351133431239,7.128576038055,8.761275516190,749.098223154343,1067.703711124921,728.334308948600,974.932254896591,3.908811765465,16.830000000000
