hour,p_vital_mw,p_nonvital_mw,p_load_mw,p_pv_mw,v_kn,p_propulsion_mw,p_ess_mw,energy_ess_mwh,soc,p_g1_mw,p_g2_mw,eeoi,co2_g1,co2_g2,cost_g1,cost_g2,cost_ess,cost_pv
0,5.500000,1.400000,6.900000,0.000000,10.247629967131,2.367516344547,0.043393871880,37.454322240127,0.499390963202,3.693511893371,5.530610579297,7.518488379694,671.102525371080,869.831211174350,651.668534104586,786.647547698568,1.008097020902,0.000000000000
1,7.300000,1.900000,9.200000,0.000000,10.230434382211,2.355618211903,0.602806000797,36.819789607709,0.490930528103,4.296852803906,6.655959407201,8.546231713405,742.218272287875,1006.414982895257,721.580505886471,916.479226452051,2.562512820764,0.000000000000
2,7.900000,2.000000,9.900000,0.000000,10.075851280816,2.250442530936,0.613805717624,36.173678326000,0.482315711013,4.358422880479,7.178213932833,9.052851657467,750.028203873418,1074.275535485051,729.247124631834,981.206251888051,2.620057073647,0.000000000000
3,9.700000,2.400000,12.100000,0.000000,9.696533296538,2.005728567253,1.227973105548,34.881075057002,0.465081000760,4.771169933883,8.106585527822,10.348726876003,805.026543601636,1201.908950997155,783.186852200409,1103.269437830222,7.484047176183,0.000000000000
4,10.200000,2.600000,12.800000,0.000000,9.668882893529,1.988618986220,2.089427818953,32.681677352841,0.435755698038,4.742407608419,7.956783558848,10.248094077834,801.044880063469,1180.707550345455,779.284480318112,1082.966848992366,19.772547025638,0.000000000000
5,12.100000,3.100000,15.200000,0.600000,9.536701780027,1.908170982232,2.177232617288,30.389853545169,0.405198047269,6.704289643505,7.626648721439,11.841839175878,1123.834141359196,1134.807633588587,1094.768970834201,1039.047741259955,21.383470040074,6.120000000000
6,13.000000,3.300000,16.300000,1.050000,9.224041292743,1.726578768861,1.917106159920,28.371847061043,0.378291294147,5.351928982767,9.707543626174,12.647756470347,890.201731621569,1443.066827239301,866.584017668811,1334.821565482255,16.803772922126,10.710000000000
7,12.000000,3.000000,15.000000,1.400000,9.476602193377,1.872322393881,0.917816271793,27.405724669682,0.365409662262,5.590126782785,8.964379339303,11.900764710314,927.769753370528,1327.806505761917,903.325248212294,1224.020229726101,4.622262847704,14.280000000000
8,12.100000,3.000000,15.100000,2.250000,9.093689156547,1.654409425195,-0.067000106949,27.469374771283,0.366258330284,5.184930024902,9.386479507243,12.411593916500,864.776541651215,1392.566998627478,841.704652019455,1286.248121584023,1.019302761624,22.950000000000
9,11.300000,2.900000,14.200000,1.550000,9.373830084360,1.812065582839,0.888255111866,26.534369390372,0.353791591872,5.248296249218,8.325514221755,11.242196751993,874.335245006234,1233.313597556342,851.059530744891,1133.360512225812,4.392687718149,15.810000000000
10,9.200000,2.300000,11.500000,1.650000,10.216851184234,2.346247828447,1.546272924705,24.906713680157,0.332089515735,4.103718553547,6.546256350196,8.372956153510,718.384016086245,992.520923764264,698.171200209976,903.243385663088,11.281127818002,16.830000000000
11,11.500000,3.000000,14.500000,2.050000,9.687766922049,2.000293508441,0.951183011707,23.905468404676,0.318739578729,5.865471672338,7.633638824397,10.884206930918,973.105448899804,1135.767748661943,947.634513274982,1039.965915715564,4.890421223568,20.910000000000
12,9.200000,2.300000,11.500000,2.050000,10.009294151211,2.206139842728,1.018951036627,22.832888366120,0.304438511548,4.340143867381,6.297044938720,8.537674623965,747.698897332902,961.423036239078,726.960760672882,873.640766606759,5.464523224689,20.910000000000
13,10.200000,2.600000,12.800000,3.500000,10.092866099261,2.261862578883,0.095498164901,22.732363982014,0.303098186427,4.380233238945,7.086131175037,8.991122206613,752.819315961450,1062.104534307255,731.986560825562,969.587747257034,1.039215567848,35.700000000000
14,11.300000,2.800000,14.100000,4.200000,9.915679242320,2.144816240339,0.189038382661,22.533376210792,0.300445016144,4.364232692609,7.491545165070,9.414992709528,750.770441361763,1116.350514167484,729.975643249363,1021.401243177066,1.153662693512,42.840000000000
15,10.100000,2.600000,12.700000,1.700000,9.920890632825,2.148199775738,1.158973075009,21.313404552888,0.284178727372,4.503501292539,7.485725408189,9.497107519348,768.835585466107,1115.559715086407,747.701826105234,1020.645362637271,6.775839930960,17.340000000000
16,9.200000,2.300000,11.500000,1.650000,10.323751697361,2.420668575910,0.642388608732,20.637206017380,0.275162746898,4.886629581444,6.741650385734,8.904658881196,821.234802808675,1017.354941974637,799.068487638443,926.905039660231,2.774451435904,16.830000000000
17,9.600000,2.400000,12.000000,1.150000,10.133014172003,2.288962253795,0.567985934747,20.039326086068,0.267191014481,5.440749102253,7.130227216795,9.730337887062,904.031126737065,1067.921907422327,880.111749544737,975.140544121559,2.387214494902,11.730000000000
18,9.200000,2.300000,11.500000,0.000000,9.956284668305,2.171273825285,1.441121854325,18.522355713094,0.246964742841,4.699974077267,7.530177893693,9.626183080616,795.211451186872,1121.608929209706,773.566521177916,1026.427861847545,9.930378455755,0.000000000000
19,8.900000,2.300000,11.200000,0.000000,10.076465594355,2.250854177030,1.356117902053,17.094863184617,0.227931509128,4.993662603518,7.101073671459,9.431159967486,836.581619705102,1064.073558839500,814.100611813252,971.467116810749,8.907939786358,0.000000000000
20,6.800000,1.700000,8.500000,0.000000,10.354621268405,2.442448060097,1.421740731245,15.598293993833,0.207977253251,3.714307012744,5.806400316108,7.607596461524,673.390104023815,902.085498414946,653.920679756844,817.247096518298,9.691790839589,0.000000000000
21,5.400000,1.300000,6.700000,0.000000,10.995093415241,2.924283348965,0.424752523412,15.151186074451,0.202015814326,3.702572168230,5.496958657323,6.994244605033,672.097770605164,865.949685422376,652.648394611148,782.967933478439,1.775783236424,0.000000000000
22,4.800000,1.300000,6.100000,0.000000,10.693224625154,2.689978137580,0.142572854277,15.001109385739,0.200014791810,4.288239837868,4.359165445436,6.933257459827,741.133910624227,741.643677414828,720.515889846424,665.488684742212,1.087406180739,0.000000000000
23,2.800000,0.700000,3.500000,0.000000,11.000000000000,2.928200000000,0.000551991905,15.000528341629,0.200007044555,2.922505858617,3.505142149478,5.689612098446,594.529105250466,657.185556407572,576.103596720874,586.154703510704,1.000001310189,0.000000000000
