method_id,planned,started,unstarted,resolved,infrastructure_missing,feasible,feasible_rate,wilson_low,wilson_high,median_feasible_cost,iqr_feasible_cost
A1-only,30,30,0,30,0,30,1.0,0.8864866068260312,0.9999999999999999,42511.41557629418,100.91254280659632
A2-only,30,30,0,30,0,30,1.0,0.8864866068260312,0.9999999999999999,42393.43382761431,32.090466299967375
A3-only,30,30,0,30,0,30,1.0,0.8864866068260312,0.9999999999999999,42387.26827498735,12.984382387898222
A4-only,30,30,0,30,0,30,1.0,0.8864866068260312,0.9999999999999999,42496.21480030085,114.22492222927394
