method_id,phase,action,windows,mean_reward,median_reward,q25_reward,q75_reward
A1-only,feasibility,A1,48,0.9981119753232108,1.0,0.9983034187135073,1.0
A1-only,cost,A1,702,0.0030950903984889207,0.0009314553124925393,0.00027627216617336986,0.0028321378033641306
A2-only,feasibility,A2,60,0.9880601713775474,0.9989494737301696,0.9832159265933089,1.0
A2-only,cost,A2,690,0.0031136959073665774,0.0005673108153294495,0.0001319585139332496,0.0029090531372451232
A3-only,feasibility,A3,50,0.9984131786867146,1.0,0.9990636722509626,1.0
A3-only,cost,A3,700,0.0029934207907385763,0.00047735373150844574,0.00014664308336941918,0.0020828531251863612
A4-only,feasibility,A4,30,1.0,1.0,1.0,1.0
A4-only,cost,A4,720,0.0024596152676909936,0.0007097641785975604,0.00020435094978502857,0.0016922595190948528
