strategy,status,fault_start_hour,fault_end_hour,fault_duration_h,normal_cost,fault_pre_soc,fault_end_soc,fault_ess_output_mwh,fault_g2_max_mw,nonvital_energy_mwh,shed_energy_mwh,loss_rate,vital_shortfall_energy_mwh,vital_loss_rate,load_retention,normal_balance_error_mw,fault_balance_error_mw,minimum_inequality_slack
no_reserve,OPTIMAL,5,8,4,44813.214480315335,0.5961631566886996,0.19999999999999857,3.7635499885426635,15.0,12.4,2.826691405530761,0.22795898431699682,0.0,0.0,0.7720410156830032,1.7763568394002505e-15,1.723066134218243e-13,-1.9095836023552692e-14
no_reserve,OPTIMAL,8,11,4,44813.214480315335,0.2744130665809288,0.20000000000000112,0.8053932342582076,14.565286520256949,11.2,1.5520923517550262,0.13857967426384163,0.0,0.0,0.8614203257361583,1.7763568394002505e-15,1.4210854715202004e-13,-3.552713678800501e-14
no_reserve,INFEASIBLE_CRITICAL_LOAD,11,14,4,44813.214480315335,0.221579351846584,0.2,0.20500384254254814,15.0,10.7,3.0,0.28037383177570097,0.5842567228011672,0.013844946037942351,0.719626168224299,1.7763568394002505e-15,nan,nan
no_reserve,OPTIMAL,14,17,4,44813.214480315335,0.2077324188635735,0.20000000000345705,0.07345798518836841,13.092576460515899,10.1,1.787001567663359,0.1769308482835009,0.0,0.0,0.8230691517164991,1.7763568394002505e-15,1.7763568394002505e-15,2.6645352591003757e-15
no_reserve,OPTIMAL,17,20,4,44813.214480315335,0.20972035669904177,0.20000000000007848,0.09234338864089471,13.540084760508561,8.7,2.3307376915145674,0.2679008840821342,0.0,0.0,0.7320991159178658,1.7763568394002505e-15,1.7763568394002505e-15,8.881784197001252e-16
no_reserve,OPTIMAL,20,23,4,44813.214480315335,0.2000271889324034,0.20000000000112267,0.0002582948578444839,10.983091401484295,5.0,0.0,0.0,0.0,0.0,1.0,1.7763568394002505e-15,2.4868995751603507e-14,-1.0880185641326534e-14
dynamic_reserve,OPTIMAL,5,8,4,45397.35793083903,0.8245092308278258,0.20000000000008625,5.932837692863526,14.978895901551894,12.4,0.0,0.0,0.0,0.0,1.0,1.7763568394002505e-15,1.4566126083082054e-13,-3.375077994860476e-14
dynamic_reserve,OPTIMAL,8,11,4,45397.35793083903,0.730525682011115,0.2000000000000325,5.039993979105284,13.190658950384163,11.2,0.0,0.0,0.0,0.0,1.0,1.7763568394002505e-15,9.059419880941277e-14,-6.217248937900877e-14
dynamic_reserve,OPTIMAL,11,14,4,45397.35793083903,0.8378786325854121,0.19999999999999965,6.059847009561418,11.589002761261915,10.7,0.0,0.0,0.0,0.0,1.0,1.7763568394002505e-15,5.1514348342607263e-14,-2.4868995751603507e-14
dynamic_reserve,OPTIMAL,14,17,4,45397.35793083903,0.8876066919707759,0.2000000000000079,6.532263573722296,11.136922914498566,10.1,0.0,0.0,0.0,0.0,1.0,1.7763568394002505e-15,3.907985046680551e-14,-2.842170943040401e-14
dynamic_reserve,OPTIMAL,17,20,4,45397.35793083903,0.892823143710106,0.19999999999993542,6.581819865246619,11.677143805532646,8.7,0.0,0.0,0.0,0.0,1.0,1.7763568394002505e-15,5.3290705182007514e-14,-6.45705711121991e-13
dynamic_reserve,OPTIMAL,20,23,4,45397.35793083903,0.9059567446581788,0.20000000000000046,6.706589074252694,8.300951004376095,5.0,1.0126881971883606e-13,2.025376394376721e-14,0.0,0.0,0.9999999999999798,1.7763568394002505e-15,1.7763568394002505e-15,4.440892098500626e-15
