strategy,fault_start_hour,hour,p_vital_mw,p_nonvital_mw,p_pv_mw,v_kn,p_propulsion_mw,p_g1_mw,p_g2_mw,p_ess_mw,energy_ess_mwh,p_shed_mw,p_vital_shortfall_mw,balance_residual_mw
no_reserve,5,5,12.1,3.1,0.6,9.281250003465516,1.7589038288745624,0.0,12.202122179203558,1.6569162001018127,4.217509250990351,2.4998654495691874,0.0,0.0
no_reserve,5,6,13.0,3.3,1.05,9.236771689543119,1.7337373606680224,0.0,15.0,1.6569114047064157,2.4733919828783337,0.32682595596157354,0.0,-3.197442310920451e-14
no_reserve,5,7,12.0,3.0,1.4,9.438318392174757,1.8497223837342631,0.0,15.0,0.4497223837344352,1.999999999999981,0.0,0.0,1.723066134218243e-13
no_reserve,5,8,12.1,3.0,2.25,9.506040175165417,1.8898251183510855,0.0,14.739825118351147,-5.141023396479897e-15,1.9999999999999858,0.0,0.0,5.684341886080802e-14
no_reserve,8,8,12.1,3.0,2.25,9.506040175165417,1.8898251183510855,0.0,12.480808634077214,0.7069241325188463,1.999999999999976,1.5520923517550262,0.0,1.7763568394002505e-15
no_reserve,8,9,11.3,2.9,1.55,9.548541143657657,1.9152865202567997,0.0,14.565286520256949,-1.1098172874211937e-14,1.9999999999999865,0.0,0.0,1.3677947663381929e-13
no_reserve,8,10,9.2,2.3,1.65,10.137765845489248,2.2921838526603415,0.0,12.25129089059881,-0.10910703793837628,2.103651686041444,0.0,0.0,9.237055564881302e-14
no_reserve,8,11,11.5,3.0,2.05,9.59744931046681,1.944868139972035,0.0,14.296399038232813,0.09846910173936126,2.000000000000011,0.0,0.0,1.4210854715202004e-13
no_reserve,11,11,11.5,3.0,2.05,9.59744931046681,1.944868139972035,0.0,10.605607574628317,0.20500384254254814,2.0,3.0,0.5842567228011672,
no_reserve,11,12,9.2,2.3,2.05,10.22750741888995,2.3535969382977,0.0,13.605607574628317,0.0,2.0,0.0,0.0,
no_reserve,11,13,10.2,2.6,3.5,10.210186350471337,2.3416591877254103,0.0,15.0,0.0,2.0,0.0,0.0,
no_reserve,11,14,11.3,2.8,4.2,10.080838207888569,2.253785677231027,0.0,15.0,0.0,2.0,0.0,0.0,
no_reserve,14,14,11.3,2.8,4.2,10.080838207888569,2.253785677231027,0.0,10.293326130363837,0.07345797920394154,2.000000000000007,1.7870015676632494,0.0,1.7763568394002505e-15
no_reserve,14,15,10.1,2.6,1.7,9.834513592801029,2.092576460479563,0.0,13.092576460515899,-3.638040345410901e-11,2.0000000000345683,4.5662868353320594e-14,0.0,1.7763568394002505e-15
no_reserve,14,16,9.2,2.3,1.65,10.078211058568472,2.252024071166513,0.0,12.10202407779743,-6.6309459343349264e-09,2.000000006333967,2.9066998786101754e-14,0.0,0.0
no_reserve,14,17,9.6,2.4,1.15,9.90516988176863,2.1380037674305887,0.0,12.988003761446128,5.984426870806126e-09,2.0000000000345706,3.4804349508087405e-14,0.0,1.7763568394002505e-15
no_reserve,17,17,9.6,2.4,1.15,9.90516988176863,2.1380037674305887,0.0,10.564922687275343,0.09234338864089196,2.000000000000005,2.330737691514354,0.0,0.0
no_reserve,17,18,9.2,2.3,0.0,9.7515842432093,2.0400847605086403,0.0,13.540084760508561,2.039624205221926e-15,2.000000000000003,7.96068158236873e-14,0.0,1.7763568394002505e-15
no_reserve,17,19,8.9,2.3,0.0,9.794903935935677,2.067393867887899,0.0,13.267393867888643,-8.237036003875073e-13,2.0000000000007856,7.855872260189202e-14,0.0,-1.7763568394002505e-15
no_reserve,17,20,6.8,1.7,0.0,10.41210165650898,2.483349696342106,0.0,10.98334969634205,7.021301030555212e-16,2.0000000000007847,5.5595327367850157e-14,0.0,-1.7763568394002505e-15
no_reserve,20,20,6.8,1.7,0.0,10.41210165650898,2.483349696342106,0.0,10.983091401484295,0.00025829485783720926,1.999999999999995,0.0,0.0,2.4868995751603507e-14
no_reserve,20,21,5.4,1.3,0.0,10.946454488092595,2.8856463694894092,0.0,9.58564636948942,5.449636159507707e-15,1.9999999999999891,0.0,0.0,1.4210854715202004e-14
no_reserve,20,22,4.8,1.3,0.0,10.999986330023422,2.9281890831702713,0.0,9.028189083182117,-1.1830649637213214e-11,2.0000000000112284,0.0,0.0,1.4210854715202004e-14
no_reserve,20,23,2.8,0.7,0.0,10.999913740903313,2.9281311140255744,0.0,6.428131114025579,1.825001565245585e-15,2.0000000000112266,0.0,0.0,6.217248937900877e-15
dynamic_reserve,5,5,12.1,3.1,0.6,8.614547985853278,1.406436615303591,0.0,13.22240354907938,2.7840330662243367,5.3145311859368505,0.0,0.0,1.2789769243681803e-13
dynamic_reserve,5,6,13.0,3.3,1.05,8.212585915179904,1.2186036050610047,0.0,14.978895901551894,1.4897077035092559,3.7464178138218447,0.0,0.0,1.4566126083082054e-13
dynamic_reserve,5,7,12.0,3.0,1.4,9.854630285227564,2.105443965203019,0.0,14.633463427952448,1.0719805372506945,2.618017248294798,0.0,0.0,1.2256862191861728e-13
dynamic_reserve,5,8,12.1,3.0,2.25,9.638002080200831,1.969625815890053,0.0,14.232509430010928,0.5871163858792388,2.0000000000008624,0.0,0.0,1.1368683772161603e-13
dynamic_reserve,8,8,12.1,3.0,2.25,9.638002080200831,1.969625815890053,0.0,12.54039152885373,2.2792342870364135,4.906062833757031,0.0,0.0,9.059419880941277e-14
dynamic_reserve,8,9,11.3,2.9,1.55,9.515102794554332,1.8952352886740766,0.0,13.190658950384163,1.354576338289994,3.4801930039780897,0.0,0.0,7.815970093361102e-14
dynamic_reserve,8,10,9.2,2.3,1.65,10.690557507186302,2.68796582605959,0.0,12.282104673668092,0.2558611523915597,3.2108654751448693,0.0,0.0,6.394884621840902e-14
dynamic_reserve,8,11,11.5,3.0,2.05,9.21600765782685,1.722071430073036,0.0,13.021749228685804,1.1503222013873167,2.000000000000325,0.0,0.0,8.526512829121202e-14
dynamic_reserve,11,11,11.5,3.0,2.05,9.21600765782685,1.722071430073036,0.0,11.589002761261915,2.583068668811172,5.659766674473939,0.0,0.0,5.1514348342607263e-14
dynamic_reserve,11,12,9.2,2.3,2.05,10.69156986198573,2.6887295185412574,0.0,10.983338878501401,1.1553906400398928,4.443566000747737,0.0,0.0,3.552713678800501e-14
