hour,p_vital_mw,p_nonvital_mw,p_load_mw,p_pv_mw,v_kn,p_propulsion_mw,p_ess_mw,energy_ess_mwh,soc,p_g1_mw,p_g2_mw,eeoi,co2_g1,co2_g2,cost_g1,cost_g2,cost_ess,cost_pv
0,5.500000,1.400000,6.900000,0.000000,11.000000000000,2.928200000000,-0.046119404915,37.543813434670,0.500584179129,3.862530556354,6.011788848561,7.348426484745,690.033726596920,926.620100046926,670.299216560244,840.549366955558,1.009146097892,0.000000000000
1,7.300000,1.900000,9.200000,0.000000,10.263943086744,2.378840843415,-0.000067412769,37.543877476801,0.500585033024,4.636766641803,6.942141614381,8.914029664910,786.612332440306,1043.249530643500,765.136063278643,951.596680957215,1.000000019541,0.000000000000
2,7.900000,2.000000,9.900000,0.000000,10.073024087830,2.248548700801,0.907105795808,36.589029270687,0.487853723609,4.270606502319,6.970836402675,8.864815333605,738.920143641450,1046.989824150003,718.342316697263,955.164805733954,4.538215976588,0.000000000000
3,9.700000,2.400000,12.100000,0.000000,9.611741041487,1.953569496797,1.448900962640,35.063870362646,0.467518271502,4.761612863732,7.843055670425,10.239916915610,803.701049002171,1164.767544581504,781.887796197605,1067.709210558952,10.027050198013,0.000000000000
4,10.200000,2.600000,12.800000,0.000000,9.573765463276,1.930505453485,1.741161863660,33.231068400898,0.443080912012,4.865516563139,8.123827026687,10.563284509636,818.244059884768,1204.364108457336,796.138467297957,1105.621146297217,14.036071932495,0.000000000000
5,12.100000,3.100000,15.200000,0.600000,9.356625664746,1.802106467037,2.293148880522,30.817227474033,0.410896366320,5.176430199423,8.932527387093,11.684219852474,863.502601722424,1322.994825161405,840.457747316521,1219.399660838849,23.611686689424,6.120000000000
6,13.000000,3.300000,16.300000,1.050000,9.384163853708,1.818065089423,2.373084013387,28.319244302047,0.377589924027,5.542812954064,9.152168121971,12.129875008186,920.185598031167,1356.389094005047,895.909836217424,1251.476085273219,25.215569258754,10.710000000000
7,12.000000,3.000000,15.000000,1.400000,9.503795411641,1.888486640267,2.068807513616,26.141552182451,0.348554029099,5.067312526659,8.352366599992,10.966783278282,847.321484544863,1237.199807467035,824.617281476763,1137.085607867081,19.403847472086,14.280000000000
8,12.100000,3.000000,15.100000,2.250000,9.622350846025,1.960045912906,1.672426977211,24.381102732756,0.325081369770,4.815846161137,8.321772774558,10.621251805133,811.255513955810,1232.772711903501,789.291019154215,1132.842075256154,13.027151574641,22.950000000000
9,11.300000,2.900000,14.200000,1.550000,9.641901191853,1.972017254976,1.667500709812,22.625838827691,0.301677851036,4.887315350321,8.067201194843,10.462897297293,821.332146505235,1196.312291914875,799.163851539135,1097.909084745817,12.956402054059,15.810000000000
10,9.200000,2.300000,11.500000,1.650000,10.239781796288,2.362081005922,0.780676603832,21.804073981552,0.290720986421,4.345197829797,7.086206572293,8.840307950807,748.342024728918,1062.114463836052,727.592048298476,969.597224402296,3.620660627015,16.830000000000
11,11.500000,3.000000,14.500000,2.050000,8.788152208598,1.493191095464,0.948435100333,20.805721244359,0.277409616591,4.798560380772,8.196195614359,11.512898229286,808.839057134589,1214.702982886722,786.923087032175,1115.525809200570,4.867975300037,20.910000000000
12,9.200000,2.300000,11.500000,2.050000,10.411522423595,2.482935267659,0.191269735731,20.604384680431,0.274725129072,4.510233505212,7.231432026716,8.889535408812,769.722119717836,1081.349825165939,748.571483592492,987.961233005646,1.157311680769,20.910000000000
13,10.200000,2.600000,12.800000,3.500000,10.062865684508,2.241752736591,0.298045980309,20.290652069579,0.270542027594,4.428957285943,6.814749470338,8.873459894849,759.101018508985,1026.747683065695,738.151101760518,935.859186243665,1.381975047428,35.700000000000
14,11.300000,2.800000,14.100000,4.200000,10.060400081973,2.240105318085,0.846220147330,19.399894019758,0.258665253597,4.441892135063,6.851993035693,8.907866410970,760.779398834283,1031.554600588321,739.797980234643,940.442642374165,4.079180712313,42.840000000000
15,10.100000,2.600000,12.700000,1.700000,9.841131239768,2.096803589510,0.435117795362,18.941875287798,0.252558337171,5.037074454373,7.624611339774,10.046722228358,842.894351838880,1134.527887736507,820.282441218177,1038.780219697861,1.814108232115,17.340000000000
16,9.200000,2.300000,11.500000,1.650000,10.250124566111,2.369245751748,0.644578409722,18.263371698618,0.243511622648,4.324398267705,7.250269074322,8.924577164244,745.699657776360,1083.860894891053,724.998244122905,990.359280445121,2.786569703000,16.830000000000
17,9.600000,2.400000,12.000000,1.150000,9.861541301657,2.109876693025,1.042305543230,17.166207968902,0.228882772919,4.150938303740,7.766632846055,9.523105848539,724.118281857016,1154.131751051351,703.805014063768,1057.531953975022,5.671523635429,11.730000000000
18,9.200000,2.300000,11.500000,0.000000,9.730346516994,2.026784623184,0.714983177128,16.413594098240,0.218847921310,4.856545834016,7.955255612040,10.264122985737,816.976963751772,1180.492503133377,794.897036700855,1082.760969461137,3.198164057379,0.000000000000
19,8.900000,2.300000,11.200000,0.000000,9.889010566431,2.127556997104,1.169381062199,15.182666664346,0.202435555525,4.641969407919,7.516206526986,9.642125036226,787.316073863965,1119.705453457918,765.826072687775,1024.608214296005,6.880043895107,0.000000000000
20,6.800000,1.700000,8.500000,0.000000,10.347833987979,2.437648256552,0.171737899460,15.001889928073,0.200025199041,4.221394783231,6.544515573861,8.335501701547,732.786295696851,992.301460585750,712.318998305368,903.034367142585,1.126823796277,0.000000000000
21,5.400000,1.300000,6.700000,0.000000,10.644973256569,2.653727988494,-0.005022636559,15.006661432804,0.200088819104,3.775422072215,5.583328552837,7.309159915608,680.180680337660,875.935556254918,660.604618570405,792.435584937898,1.000108475575,0.000000000000
22,4.800000,1.300000,6.100000,0.000000,10.841005722221,2.803053595921,0.003170991986,15.003323546502,0.200044313953,3.856779137972,5.043103465962,6.937215670342,689.376853187557,814.751042381482,669.653038803953,734.492421585709,1.000043237318,0.000000000000
23,2.800000,0.700000,3.500000,0.000000,11.000000000000,2.928200000000,0.003143032320,15.000015091428,0.200000201219,2.966221368897,3.458835598783,5.687565636277,598.441548014537,652.822891966301,579.974756147680,582.069878373605,1.000042478204,0.000000000000
