hour,p_vital_mw,p_nonvital_mw,p_load_mw,p_pv_mw,v_kn,p_propulsion_mw,p_ess_mw,energy_ess_mwh,soc,p_g1_mw,p_g2_mw,eeoi,co2_g1,co2_g2,cost_g1,cost_g2,cost_ess,cost_pv
0,5.500000,1.400000,6.900000,0.000000,10.955045190255,2.892445608941,0.375356040270,37.104888378663,0.494731845049,3.699928807044,5.717160761627,7.135385086471,671.807175962526,891.562145480662,652.362296988018,807.259180910900,1.605836274960,0.000000000000
1,7.300000,1.900000,9.200000,0.000000,10.200988268313,2.335336274025,0.312533859793,36.775905368354,0.490345404911,4.315499318564,6.907303095667,8.740783673563,744.572707160750,1038.719927036871,723.891938613615,947.276108462867,1.420012878124,0.000000000000
2,7.900000,2.000000,9.900000,0.000000,10.116956385426,2.278097534533,1.100221444235,35.617777532318,0.474903700431,4.087252736016,6.990623354282,8.727785924653,716.398598889082,1049.573991931788,696.220286897079,957.630251806097,6.205095073323,0.000000000000
3,9.700000,2.400000,12.100000,0.000000,9.294951137605,1.766704902039,0.100605772115,35.511876719565,0.473491689594,4.846787622492,8.919311507432,11.493350276340,815.601104701761,1321.001479817382,793.549004817974,1217.485610772792,1.043522541946,0.000000000000
4,10.200000,2.600000,12.800000,0.000000,9.424767957309,1.841766970242,0.911031949619,34.552895719967,0.460705276266,4.943873393731,8.786861626892,11.302817360848,829.404169736088,1301.124448060564,807.070974456929,1198.403278299209,4.568910616871,0.000000000000
5,12.100000,3.100000,15.200000,0.600000,9.064650343616,1.638610940390,1.910124898321,32.542237932260,0.433896505763,4.837421097388,9.491064944681,12.262923576529,814.282889765471,1408.899398469126,792.257410523521,1301.953008801039,16.688881646903,6.120000000000
6,13.000000,3.300000,16.300000,1.050000,9.382164158221,1.816903088646,2.369535575267,30.047989958295,0.400639866111,6.027409394884,8.669958118495,12.174465262582,1000.724558131546,1283.732074510356,974.614544914547,1181.712325799384,25.143205022558,10.710000000000
7,12.000000,3.000000,15.000000,1.400000,9.782768471020,2.059719148005,1.980789741484,27.962948125154,0.372839308335,4.654049006966,9.024880399555,10.865676255490,788.952814219456,1336.975087550880,767.430826153767,1232.825805153547,17.871170399856,14.280000000000
8,12.100000,3.000000,15.100000,2.250000,9.522860830075,1.899874847839,1.685935744948,26.188278919946,0.349177052266,5.047351545181,8.016587557710,10.677147726561,844.396243330461,1189.143593913406,821.753067610502,1091.044068567146,13.222231145208,22.950000000000
9,11.300000,2.900000,14.200000,1.550000,9.844645288282,2.099050557073,1.667190010549,24.433342066736,0.325777894223,4.913896077816,8.167964468708,10.339520850322,825.115018736474,1210.663285707803,802.869623560317,1111.655498895558,12.951946884482,15.810000000000
10,9.200000,2.300000,11.500000,1.650000,10.284823529417,2.393388576178,1.421656930219,22.936861087558,0.305824814501,3.965030315103,6.856701330856,8.430156310449,701.890086046833,1032.163313520525,681.959413977195,941.023105535391,9.690766237126,16.830000000000
11,11.500000,3.000000,14.500000,2.050000,9.705182473772,2.011100604875,1.339262812356,21.527110758763,0.287028143450,4.784300329699,8.337537462820,10.519659948545,806.851653501270,1235.052733751937,784.975489338288,1135.027508975019,8.712586986405,20.910000000000
12,9.200000,2.300000,11.500000,2.050000,10.486609918199,2.537044126790,1.903624190305,19.523295821599,0.260310610955,4.085907239093,5.997512697392,7.824917960507,716.236684938355,924.900560936659,696.061180433304,838.915484752309,16.582275749036,20.910000000000
13,10.200000,2.600000,12.800000,3.500000,10.782964112613,2.758272441136,1.377024307791,18.073796550241,0.240983954003,5.056762483303,5.624485650043,8.005662303877,845.774056802334,880.721329605650,823.102158362669,796.974415705395,9.153642560261,35.700000000000
14,11.300000,2.800000,14.100000,4.200000,9.975724893915,2.184017291044,0.471031981347,17.577973411981,0.234372978826,4.396580744760,7.216404564938,9.193662692303,754.919757757698,1079.349237959610,734.047958124621,986.050810569984,1.954045848042,42.840000000000
15,10.100000,2.600000,12.700000,1.700000,9.707552556128,2.012574344759,0.704894704623,16.835978986061,0.224479719814,4.701819495403,7.605860144733,9.927421846434,795.464133613288,1131.955252808934,773.814219320418,1036.320091940537,3.136569141805,17.340000000000
16,9.200000,2.300000,11.500000,1.650000,9.537582294579,1.908699569837,0.250075476189,16.572741642705,0.220969888569,4.654034795665,6.854589297983,9.545611563181,788.950886326691,1031.890230391958,767.428935978390,940.762694604059,1.268912298302,16.830000000000
17,9.600000,2.400000,12.000000,1.150000,9.799063950094,2.070029128333,0.177309742669,16.386099808317,0.218481330778,4.743961056513,7.998758329151,10.143234356922,801.259358392284,1186.624684093190,779.494697252453,1088.632134118285,1.135186602834,11.730000000000
18,9.200000,2.300000,11.500000,0.000000,9.759024067755,2.044757679792,0.632160101649,15.720668122371,0.209608908298,4.793767061557,8.118830516586,10.307499442736,808.170406261940,1203.652296538598,786.267839064819,1104.939313439083,2.718393494701,0.000000000000
19,8.900000,2.300000,11.200000,0.000000,9.607374622837,1.950908305308,0.489128752046,15.205795751796,0.202743943357,4.747132825871,7.914646727391,10.286282947203,801.697474155897,1174.786000849588,779.924104774409,1077.298120485241,2.028761825137,0.000000000000
20,6.800000,1.700000,8.500000,0.000000,10.238236885319,2.361012041449,0.193660835832,15.001942240394,0.200025896539,4.153837924842,6.513513280775,8.365066194476,724.472367577526,988.398217630874,704.152858674282,899.317137946224,1.161269433141,0.000000000000
21,5.400000,1.300000,6.700000,0.000000,10.979353134452,2.911742342686,0.000311289731,15.001614566993,0.200021527560,4.141039739181,5.470391313774,7.221759117615,722.911234031723,862.893638053122,702.619208449347,780.071290170478,1.000000416676,0.000000000000
22,4.800000,1.300000,6.100000,0.000000,10.546971152462,2.581106682918,0.001505941111,15.000029365823,0.200000391544,4.265668648408,4.413932093399,7.042876623533,738.301728227199,747.318603347886,717.735101015009,670.835010787490,1.000009751792,0.000000000000
23,2.800000,0.700000,3.500000,0.000000,10.999738378339,2.927991073910,-0.010844794714,15.010331920801,0.200137758944,2.701602480096,3.737233388528,5.704387337770,575.547880267177,679.387486216379,557.301757247138,606.964085885208,1.000505721161,0.000000000000
