ess_capacity_mwh,ess_power_max_mw,g2_max_mw,g2_ramp_mw_per_h,g1_fault_max_mw,strategy,seed,normal_cost,normal_cv_base,normal_cv_res,reserve_energy_max_mwh,reserve_power_max_mw,fault_pre_soc,fault_end_soc,fault_ess_output_mwh,fault_g2_max_mw,shed_energy_mwh,load_retention
18.0,3.0,16.0,3.0,6.0,no_reserve,20260826,44486.9450306871,0.0,0.0,0.0,0.0,0.5100285024514473,0.19999999999999574,5.30148739191982,9.735967048379532,1.148582605707462e-15,0.9999999999999999
18.0,3.0,16.0,3.0,6.0,dynamic_reserve,20260826,44486.9450306871,0.0,0.0,0.0,0.0,0.5100285024514473,0.19999999999999574,5.30148739191982,9.735967048379532,1.148582605707462e-15,0.9999999999999999
18.0,3.0,16.0,3.0,2.0,no_reserve,20260826,44486.9450306871,0.0,0.0,2.495197371319491,2.370437502753516,0.5100285024514473,0.20000000000000082,5.301487391919732,13.336874936877171,8.221370233201156e-13,0.9999999999999337
18.0,3.0,16.0,3.0,2.0,dynamic_reserve,20260826,44492.73745481169,0.0,0.0,2.4838876556316056,2.3596932728500253,0.5190595797494979,0.20000000000000343,5.455918813716354,13.264341244390957,0.0,1.0
18.0,3.0,16.0,3.0,0.0,no_reserve,20260826,44486.9450306871,0.0,0.0,6.692575134524829,4.370437502753516,0.5100285024514473,0.2000000000000005,5.301487391919745,15.15438135653529,1.3704375027535092,0.8894808465521363
18.0,3.0,16.0,3.0,0.0,dynamic_reserve,20260826,44870.38443539971,0.0,0.0,4.344931922748858,2.980892872489992,0.5265040610826713,0.2000000000000094,5.583219444513519,15.233787904414323,0.0,1.0
