candidate,reference,pairs,candidate_median,reference_median,median_difference,difference_ci_low,difference_ci_high,median_relative_difference,relative_ci_low,relative_ci_high,wins,ties,losses,wilcoxon_p,rank_biserial,analysis_status
UniformRandom,A1-only,30,42372.118112990756,42511.41557629418,-136.54901738142507,-163.05796589515012,-73.83152407452508,-0.003210984688192795,-0.0038327786960905665,-0.0017392167292631703,30,0,0,1.862645149230957e-09,-1.0,inferential
UniformRandom,A2-only,30,42372.118112990756,42393.43382761431,-23.974457378899388,-34.66086111199911,-17.256021051052812,-0.0005655378732626773,-0.0008173364792635985,-0.0004070880159643065,28,0,2,1.991167664527893e-06,-0.8881720430107527,inferential
UniformRandom,A3-only,30,42372.118112990756,42387.26827498735,-10.361847503947502,-17.961313170999347,-7.507956992740219,-0.0002444489420193527,-0.0004236824819997573,-0.00017713856719370007,26,0,4,0.000283263623714447,-0.7204301075268817,inferential
UniformRandom,A4-only,30,42372.118112990756,42496.21480030085,-118.68124317602269,-184.98701836315013,-96.43445360624901,-0.0027932003308983673,-0.004347002990451279,-0.0022704970427545853,30,0,0,1.862645149230957e-09,-1.0,inferential
