seed,checkpoint,target_fraction,target_nfe,actual_fraction,actual_nfe,iteration,before_cost,before_cv,oracle_action,action_rank,A1_reward_median,A1_reward_mean,A1_reward_std,A1_reward_q25,A1_reward_q75,A1_after_cost_median,A1_gap_reward_median,A2_reward_median,A2_reward_mean,A2_reward_std,A2_reward_q25,A2_reward_q75,A2_after_cost_median,A2_gap_reward_median,A3_reward_median,A3_reward_mean,A3_reward_std,A3_reward_q25,A3_reward_q75,A3_after_cost_median,A3_gap_reward_median,A4_reward_median,A4_reward_mean,A4_reward_std,A4_reward_q25,A4_reward_q75,A4_after_cost_median,A4_gap_reward_median,second_best_action,oracle_reward,random_reward_mean,delta_reward,margin,pooled_repeat_std,margin_noise_ratio,oracle_class,oracle_gap_reward,random_gap_reward,delta_gap_reward,relative_delta_vs_random
310027,20pct,0.2,60120,0.20159680638722555,60600,100,43211.598068059524,0.0,A1,A1>A2>A4>A3,273.4978961324814,273.4978961324814,0.0,273.4978961324814,273.4978961324814,42938.10017192704,0.0064570157838856595,269.92855527673964,286.47786186834855,32.36230747268306,267.8326986875654,296.8483717533272,42941.669512782784,0.006372747164018731,183.6050887118763,208.39996336715558,49.68700856817152,179.79750916896955,224.60498023770197,43027.99297934765,0.004334735193867963,267.00342742321664,274.46618611113325,26.114087875205758,259.94964656524826,285.2513463130599,42944.59464063631,0.006303687778234892,A2,273.4978961324814,248.5087418860785,24.989154246402904,3.569340855741757,32.39623184478403,0.1101776550076283,Ambiguous Oracle,0.0064570157838856595,0.005867046480001811,0.0005899693038838487,0.10055643941032241
310027,40pct,0.4,120240,0.40119760479041916,120600,200,42492.82177094386,0.0,A1,A1>A2>A4>A3,53.680490961371106,53.680490961371106,0.0,53.680490961371106,53.680490961371106,42439.14127998249,0.0012673434871923305,52.49842684325995,53.66459811161136,2.9225868412022455,52.00178332350333,54.74432726554369,42440.3233441006,0.0012394361183381605,43.87359083806223,43.61342197259122,5.562453424912936,40.89952004480074,46.4574083331172,42448.9481801058,0.0010358122403979417,50.44882341603079,50.058692668290554,6.101905724974795,47.109952961945964,53.202497748505266,42442.37294752783,0.0011910470013925803,A2,53.680490961371106,50.12533301468102,3.5551579466900876,1.1820641181111569,4.37937368310739,0.26991624913643397,Ambiguous Oracle,0.0012673434871923305,0.0011834097118302532,8.393377536207729e-05,0.07092537311719865
310027,60pct,0.6,180360,0.6007984031936128,180600,300,42387.488335638096,0.0,A1,A1>A2>A4>A3,6.198661945265485,6.198661945265485,0.0,6.198661945265485,6.198661945265485,42381.28967369283,0.0001463442994828842,5.370219654752873,5.436710092641685,1.6818266855260005,4.579667161782709,6.260507804556255,42382.11811598334,0.00012678559346897332,0.8193146096236887,1.0427507233374247,0.8394226830307936,0.5784839121406549,1.3952994776773266,42386.66902102847,1.9343210463840807e-05,5.19550033230189,5.570710713793233,0.8790427484931072,5.068518282940204,5.88529795390059,42382.292835305794,0.00012266064245922473,A2,6.198661945265485,4.395924135485984,1.8027378097795008,0.8284422905126121,1.0375316374227228,0.7984742446702653,Ambiguous Oracle,0.0001463442994828842,0.00010378343646873077,4.256086301415344e-05,0.4100930212209411
310027,80pct,0.8,240480,0.8003992015968064,240600,400,42373.2306037986,0.0,A1,A1>A2>A4>A3,3.571361307076586,3.571361307076586,0.0,3.571361307076586,3.571361307076586,42369.65924249152,8.431632073170202e-05,3.557262833121058,3.548262713707421,0.20583222056534,3.4476704475309816,3.6533550395906786,42369.67334096548,8.398346965625739e-05,0.2687578702752944,0.4478824271330571,0.4778448612708139,0.17711926081756246,0.6290833150196704,42372.96184592832,6.345108444894443e-06,3.51374505268177,3.2925829453160986,0.4078323391946039,3.167843815856031,3.527903128459002,42369.71685874592,8.295605774870824e-05,A2,3.571361307076586,2.727781765788677,0.8435795412879088,0.01409847395552788,0.3305411590705175,0.04265270320698584,Ambiguous Oracle,8.431632073170202e-05,6.440023914539052e-05,1.9916081586311495e-05,0.3092547768549243
310027,90pct,0.9,270540,0.9001996007984032,270600,450,42367.76402949281,0.0,A4,A4>A1>A2>A3,2.1327533126459457,2.1327533126459457,0.0,2.1327533126459457,2.1327533126459457,42365.63127618017,5.0352203792524124e-05,1.676746914155956,1.6631660940984148,0.1984733465406466,1.5674990203660855,1.7656235778595146,42366.08728257866,3.9586342137864654e-05,0.25206380311283283,0.30739665661531035,0.17346657789228395,0.21020524007690256,0.3769216464024794,42367.5119656897,5.95097797190155e-06,2.297911577959894,2.212121175330443,0.18355501559951992,2.1496455240485375,2.3174920279270737,42365.46611791485,5.4251427666095604e-05,A1,2.297911577959894,1.5898689019686572,0.708042675991237,0.1651582653139485,0.16060414587149005,1.0283561760983586,Ambiguous Oracle,5.4251427666095604e-05,3.753523789209648e-05,1.671618977399912e-05,0.4453465786484045
310029,20pct,0.2,60120,0.20159680638722555,60600,100,43355.63376533508,0.0,A4,A4>A1>A2>A3,146.6149827069894,146.6149827069894,0.0,146.6149827069894,146.6149827069894,43209.01878262809,0.0034614352464143947,90.28939701350464,95.11260572368094,11.404105233267355,88.60100225238784,99.2126048398859,43265.344368321574,0.002131643679450155,61.39802458183112,132.59105950535013,128.54095928377683,58.39811563620242,171.18748591273834,43294.23574075325,0.0014495468500139615,212.5353141786327,193.64267279238993,51.37631644812167,174.01513002864158,222.71653624925966,43143.098451156446,0.005017749305171147,A1,212.5353141786327,127.70942962023946,84.82588455839323,65.9203314716433,69.4484660045536,0.9491978047048732,Ambiguous Oracle,0.005017749305171147,0.0030150937702624146,0.0020026555349087326,0.6642100337511019
310029,40pct,0.4,120240,0.40119760479041916,120600,200,42695.328308331686,0.0,A1,A1>A2>A3>A4,108.11385459377198,108.11385459377198,0.0,108.11385459377198,108.11385459377198,42587.21445373791,0.0025524615561596546,101.55843078661565,97.57643090133934,11.637782694686734,93.01437422126037,104.12948752405646,42593.76987754507,0.0023976944607215066,97.20082235802693,102.68479653634374,32.59185908742917,85.19181645796925,117.43578952555981,42598.12748597366,0.0022948156203308626,70.16345762328274,77.745965798611,13.39671438913594,70.01186434461852,81.68881316493935,42625.1648507084,0.001656490085415777,A2,108.11385459377198,94.25914134042432,13.854713253347654,6.55542380715633,18.55491323913744,0.3532985426915998,Ambiguous Oracle,0.0025524615561596546,0.00222536543065695,0.0003270961255027044,0.1469853539542681
310029,60pct,0.6,180360,0.6007984031936128,180600,300,42411.82071794293,0.0,A1,A1>A3>A2>A4,10.278928518659086,10.278928518659086,0.0,10.278928518659086,10.278928518659086,42401.54178942427,0.00024267537200455902,8.773114854775486,9.760007794990088,2.5609655500326136,8.306214109230496,10.720355010642379,42403.047603088155,0.00020712459544364073,9.734145091060782,9.75349687091754,3.475223368069278,8.011067447107052,11.486250404799648,42402.08657285187,0.00022981357218618812,7.974089942348655,8.026165672449375,1.3297031592703383,7.348677669815515,8.677615810032876,42403.84662800058,0.00018826040473425868,A3,10.278928518659086,9.190069601711002,1.0888589169480838,0.5447834275983041,2.2585300805060213,0.2412114995945708,Ambiguous Oracle,0.00024267537200455902,0.00021696848609216164,2.5706885912397384e-05,0.11848211864960856
310029,80pct,0.8,240480,0.8003992015968064,240600,400,42381.045819812905,0.0,A2,A2>A4>A1>A3,4.108488765283255,4.108488765283255,0.0,4.108488765283255,4.108488765283255,42376.93733104762,9.699737065801977e-05,5.293194853285968,4.604529080189725,1.22647522237937,4.2408443172425905,5.312546729684982,42375.75262495962,0.00012496711381755572,0.8730080362365698,1.1606041178310988,0.7526170146700434,0.733599922463327,1.4438102724016062,42380.17281177667,2.061085934901676e-05,5.010969373346597,4.381709736245587,1.3099527434389344,3.9434156248789805,5.134633666162699,42376.03485043956,0.00011830404838139423,A4,5.293194853285968,3.8214152570380975,1.4717795962478704,0.2822254799393704,0.9729658308394704,0.2900672058502482,Ambiguous Oracle,0.00012496711381755572,9.021984805149662e-05,3.47472657660591e-05,0.38513992781528206
310029,90pct,0.9,270540,0.9001996007984032,270600,450,42373.917192387315,0.0,A2,A2>A1>A4>A3,2.719568503795017,2.719568503795017,0.0,2.719568503795017,2.719568503795017,42371.19762388352,6.4206332124239e-05,3.1540233021223685,3.1828025062495726,0.5270417310809562,2.9123816596038523,3.438833750831691,42370.76316908519,7.446338173907664e-05,0.25321480563434307,0.3220161501473437,0.3408120366330379,0.1370342405680276,0.47259738747015945,42373.66397758168,5.978152007072473e-06,2.2801016053563217,2.288625031210055,0.16854831042104165,2.2023008757932985,2.3706874736999453,42371.63709078196,5.383095176541029e-05,A1,3.1540233021223685,2.1017270542270126,1.052296247895356,0.43445479832735145,0.3249362874320741,1.3370461075947744,Ambiguous Oracle,7.446338173907664e-05,4.96197044089496e-05,2.4843677330127037e-05,0.500681687367048
