checkpoint,checkpoint_count,oracle_reward_median,oracle_reward_mean,oracle_reward_q25,oracle_reward_q75,random_reward_mean_median,random_reward_mean_mean,random_reward_mean_q25,random_reward_mean_q75,delta_reward_median,delta_reward_mean,delta_reward_q25,delta_reward_q75,relative_delta_vs_random_median,relative_delta_vs_random_mean,relative_delta_vs_random_q25,relative_delta_vs_random_q75,margin_median,margin_mean,margin_q25,margin_q75,pooled_repeat_std_median,pooled_repeat_std_mean,pooled_repeat_std_q25,pooled_repeat_std_q75,margin_noise_ratio_median,margin_noise_ratio_mean,margin_noise_ratio_q25,margin_noise_ratio_q75,delta_gap_reward_median,delta_gap_reward_mean,delta_gap_reward_q25,delta_gap_reward_q75,clear_count,ambiguous_count,clear_fraction,A1_oracle_count,A2_oracle_count,A3_oracle_count,A4_oracle_count
20pct,5,212.5353141786327,370.7741397073099,136.97383193486894,273.4978961324814,127.70942962023946,272.1960446723031,84.3018797463701,248.5087418860785,52.671952188498835,98.57809503500684,24.989154246402904,84.82588455839323,0.3712819938927491,0.40195044898325855,0.24890214417414921,0.62480163368797,34.16574083294836,89.4540302266585,7.09167560194328,65.9203314716433,32.39623184478403,54.52287638435056,20.947832897937513,69.4484660045536,1.404166505843648,1.283809413015501,0.9491978047048732,1.6309916638829145,0.0012435328807226453,0.0023273316708735904,0.0005899693038838487,0.0020026555349087326,1,4,0.2,1,2,1,1
40pct,5,81.33522518657992,88.98144883275964,53.680490961371106,108.11385459377198,71.5415644287641,76.512183697808,50.12533301468102,94.25914134042432,9.793660757815815,12.469265134951637,4.7542016765928565,13.854713253347654,0.1469853539542681,0.17587994643439306,0.13689469661468798,0.19993659635002242,1.1820641181111569,6.035850522837427,1.120355355364154,6.55542380715633,16.456601273621164,15.513852694575444,4.37937368310739,18.55491323913744,0.26991624913643397,0.2643509285519522,0.06807938873502448,0.3532985426915998,0.0002312186784230552,0.00029438706084538625,0.00011224201611651814,0.0003270961255027044,0,5,0.0,4,1,0,0
60pct,5,10.278928518659086,18.076627995436137,6.198661945265485,24.057868064766808,9.190069601711002,13.951500297735402,4.395924135485984,21.143119931026376,1.8027378097795008,4.125127697700736,1.0888589169480838,2.9147481337404315,0.28556889356471177,0.2781316362350612,0.13785799556777795,0.4100930212209411,0.8284422905126121,3.9215590376901672,0.5447834275983041,2.1852868343994487,2.2585300805060213,2.3066526933490805,1.0375316374227228,2.7632651887244664,0.7984742446702653,1.2147821070104055,0.7908350032116119,1.1733435339160962,4.256086301415344e-05,9.739019945402127e-05,2.5706885912397384e-05,6.881433082942835e-05,1,4,0.2,3,0,2,0
80pct,5,5.293194853285968,8.455663805834774,5.061508830389357,5.4202726139265,3.8214152570380975,6.861894454307185,3.6376400337194355,4.609941844433706,1.4238687966699217,1.5937693515275897,0.8435795412879088,1.4717795962478704,0.3092547768549243,0.2873668449178642,0.17577895705370575,0.38513992781528206,0.2822254799393704,0.6085417175854673,0.1334708742942894,0.45473464462702395,0.9336209325250829,1.5385387987611536,0.5244462088715728,0.9729658308394704,0.2900672058502482,0.356084265817096,0.1429604560528676,0.43766510960805255,3.361613900615328e-05,3.762732366212401e-05,1.9916081586311495e-05,3.47472657660591e-05,0,5,0.0,2,2,0,1
90pct,5,2.4368685785884736,7.5894684097438585,2.297911577959894,3.1540233021223685,1.8804282600631268,5.6010880019457545,1.7067536550857767,2.1017270542270126,0.708042675991237,1.988380407798104,0.5564403185253468,1.052296247895356,0.35011349442989514,0.36158485715703065,0.29591148481605295,0.4453465786484045,0.1651582653139485,1.719779265143734,0.05693797559797531,0.43445479832735145,0.551938584743287,1.0374294129999462,0.3249362874320741,0.563856777772925,1.0283561760983586,0.9420014349911849,0.10097950018950598,1.3370461075947744,1.671618977399912e-05,4.694370179470118e-05,1.31370075247969e-05,2.4843677330127037e-05,1,4,0.2,1,2,1,1
