hour,p_vital_mw,p_nonvital_mw,p_pv_mw,v_kn,p_propulsion_mw,p_g1_mw,p_g2_mw,p_ess_mw,energy_ess_mwh,p_shed_mw,balance_residual_mw
5,12.100000000,3.100000000,0.600000000,8.905981953,1.554061184,0.000000000,13.356489750,2.797571433,6.299695618,0.000000000,3.553e-15
6,13.000000000,3.300000000,1.050000000,8.760079091,1.478927085,0.000000000,15.015390404,1.713536681,4.495972796,0.000000000,-3.553e-15
7,12.000000000,3.000000000,1.400000000,8.806599027,1.502613719,0.000000000,14.279270375,0.823343344,3.629295592,0.000000000,-1.776e-15
8,12.100000000,3.000000000,2.250000000,9.422816728,1.840623293,0.000000000,14.092792481,0.597830812,3.000000000,0.000000000,0.000e+00
