iteration,population,epsilon,feasible_ratio,best_cost,minimum_cv,best_cv,total_load_shedding,peak_load_shedding,minimum_ess_energy
0,600,0.4203041329119477,0.0016666666666666668,11026.27180904758,5.921189464667501e-16,5.921189464667501e-16,0.0,0.0,6.837304669195332
1,599,0.4413193395585451,0.001669449081803005,11026.27180904758,5.921189464667501e-16,5.921189464667501e-16,0.0,0.0,6.837304669195332
2,598,0.46338530653747234,0.0016722408026755853,11026.27180904758,5.921189464667501e-16,5.921189464667501e-16,0.0,0.0,6.837304669195332
3,596,0.48655457186534595,0.0016778523489932886,11026.27180904758,5.921189464667501e-16,5.921189464667501e-16,0.0,0.0,6.837304669195332
4,595,0.5108823004596132,0.0,11026.27180904758,0.05774010080222018,5.921189464667501e-16,0.0,0.0,6.837304669195332
5,594,0.5364264154835939,0.0,11026.27180904758,0.07325878165929922,5.921189464667501e-16,0.0,0.0,6.837304669195332
6,593,0.5632477362587737,0.0,11026.27180904758,0.03527980966278137,5.921189464667501e-16,0.0,0.0,6.837304669195332
7,592,0.5914101230727123,0.0,11026.27180904758,0.07325878165929922,5.921189464667501e-16,0.0,0.0,6.837304669195332
8,590,0.620980629227348,0.0,11026.27180904758,0.08211558864861017,5.921189464667501e-16,0.0,0.0,6.837304669195332
9,589,0.6520296606897154,0.0,11026.27180904758,0.08211558864861017,5.921189464667501e-16,0.0,0.0,6.837304669195332
10,588,0.6846311437252012,0.0,11026.27180904758,0.06980972956241355,5.921189464667501e-16,0.0,0.0,6.837304669195332
11,587,0.7188627009124613,0.0,11026.27180904758,0.08211558864861017,5.921189464667501e-16,0.0,0.0,6.837304669195332
12,586,0.7548058359590843,0.0,11026.27180904758,0.08790494168326754,5.921189464667501e-16,0.0,0.0,6.837304669195332
13,585,0.7925461277580386,0.0,11026.27180904758,0.12524236457122406,5.921189464667501e-16,0.0,0.0,6.837304669195332
14,583,0.8321734341469406,0.0,11026.27180904758,0.09469019087850292,5.921189464667501e-16,0.0,0.0,6.837304669195332
15,582,0.8737821058552876,0.0,11026.27180904758,0.18999765930046825,5.921189464667501e-16,0.0,0.0,6.837304669195332
16,581,0.917471211149052,0.0,11026.27180904758,0.12466754641415678,5.921189464667501e-16,0.0,0.0,6.837304669195332
17,580,0.9633447717075045,0.0,11026.27180904758,0.12466754641415678,5.921189464667501e-16,0.0,0.0,6.837304669195332
18,579,1.01151201029388,0.0,11026.27180904758,0.2171126678260134,5.921189464667501e-16,0.0,0.0,6.837304669195332
19,577,1.062087610809574,0.0,11026.27180904758,0.19026315810277705,5.921189464667501e-16,0.0,0.0,6.837304669195332
20,576,1.1151919913510528,0.0,11026.27180904758,0.22551792262723921,5.921189464667501e-16,0.0,0.0,6.837304669195332
21,575,1.1709515909196055,0.0,11026.27180904758,0.22551792262723921,5.921189464667501e-16,0.0,0.0,6.837304669195332
22,574,1.2294991704665859,0.0,11026.27180904758,0.22551792262723921,5.921189464667501e-16,0.0,0.0,6.837304669195332
23,573,1.2909741289909153,0.0,11026.27180904758,0.22551792262723921,5.921189464667501e-16,0.0,0.0,6.837304669195332
24,571,1.3555228354414612,0.0,11026.27180904758,0.22551792262723921,5.921189464667501e-16,0.0,0.0,6.837304669195332
25,570,1.4232989772145344,0.0,11026.27180904758,0.5374308700527047,5.921189464667501e-16,0.0,0.0,6.837304669195332
26,569,1.4944639260762613,0.0,11026.27180904758,0.6293172391157131,5.921189464667501e-16,0.0,0.0,6.837304669195332
27,568,1.5691871223810745,0.0,11026.27180904758,0.6085859189870129,5.921189464667501e-16,0.0,0.0,6.837304669195332
28,567,1.6476464785011284,0.0,11026.27180904758,0.7278817212226227,5.921189464667501e-16,0.0,0.0,6.837304669195332
29,565,1.730028802427185,0.0,11026.27180904758,0.8415920756429398,5.921189464667501e-16,0.0,0.0,6.837304669195332
