strategy,runs,feasible_rate,cost_mean,cost_std,best_seed,best_cost,reserve_energy_max_mwh,normal_charge_input_mwh,normal_discharge_output_mwh,normal_end_soc,fault_cost,fault_pre_soc,fault_ess_output_mwh,fault_end_soc,fault_g2_max_mw,shed_energy_mwh,load_retention
no_reserve,5,1.000000,44608.475657159,0.191774021,20260829,44608.201017552,6.502815063,1.158844806,5.320855932,0.200000106,24836.813190618,0.532529487,4.738545194,0.200000000,15.453717275,1.439129117,0.883941200
dynamic_reserve,5,1.000000,45133.235956644,40.654074526,20260826,45089.079350780,3.736493093,4.475111133,8.311893439,0.200132937,11026.271809048,0.696043400,3.423179013,0.455820311,16.338479720,0.000000000,1.000000000
