hour,p_vital_mw,p_nonvital_mw,p_pv_mw,v_kn,p_propulsion_mw,p_g1_mw,p_g2_mw,p_ess_mw,energy_ess_mwh,p_shed_mw,balance_residual_mw
5,12.100000000,3.100000000,0.600000000,9.319502134,1.780741242,0.000000000,12.103218416,2.839680714,5.000413820,1.437842112,0.000e+00
6,13.000000000,3.300000000,1.050000000,9.271932012,1.753611546,0.000000000,15.103218416,1.900393129,3.000000000,0.000000000,-3.553e-15
7,12.000000000,3.000000000,1.400000000,9.442970794,1.852459067,0.000000000,15.452459067,0.000000000,3.000000000,0.000000000,0.000e+00
8,12.100000000,3.000000000,2.250000000,9.551592209,1.917123093,0.000000000,14.767123093,-0.000000000,3.000000000,0.000000000,1.776e-15
