hour,p_vital_mw,p_nonvital_mw,p_pv_mw,v_kn,p_propulsion_mw,p_g1_mw,p_g2_mw,p_ess_mw,energy_ess_mwh,p_shed_mw,balance_residual_mw
5,12.100000000,3.100000000,0.600000000,9.316135533,1.778812101,5.376276675,9.594543057,1.407992368,6.501440360,0.000000000,0.000e+00
6,13.000000000,3.300000000,1.050000000,9.250336928,1.741387149,5.470179068,9.829310366,1.691897715,4.720495397,0.000000000,0.000e+00
7,12.000000000,3.000000000,1.400000000,9.464811499,1.865342511,5.236249321,9.244455063,0.984638127,3.684034211,0.000000000,1.776e-15
8,12.100000000,3.000000000,2.250000000,9.511237831,1.892926735,5.125493931,8.967600304,0.649832500,3.000000000,0.000000000,-3.553e-15
