strategy,runs,feasible_rate,cost_mean,cost_std,best_seed,best_cost,reserve_energy_max_mwh,normal_charge_input_mwh,normal_discharge_output_mwh,normal_end_soc,fault_cost,fault_pre_soc,fault_ess_output_mwh,fault_end_soc,fault_g2_max_mw,shed_energy_mwh,load_retention
no_reserve,5,1.000000,44608.478235548,0.193494025,20260829,44608.201609839,0.000000000,1.160347231,5.322210589,0.200000196,8631.734318830,0.532636761,4.740073843,0.200000000,9.835077149,0.000000000,1.000000000
dynamic_reserve,5,1.000000,44608.557150436,0.325251199,20260828,44608.210150240,0.000000000,1.227551716,5.382821369,0.200003092,8628.746052605,0.532235839,4.734360710,0.200000000,9.829310366,0.000000000,1.000000000
