hour,p_vital_mw,p_nonvital_mw,p_pv_mw,v_kn,p_propulsion_mw,p_g1_mw,p_g2_mw,p_ess_mw,energy_ess_mwh,p_shed_mw,balance_residual_mw
5,12.100000000,3.100000000,0.600000000,9.319502134,1.780741242,5.377008650,9.596368342,1.407364250,6.508115361,0.000000000,0.000e+00
6,13.000000000,3.300000000,1.050000000,9.271932012,1.753611546,5.472493331,9.835077149,1.696041066,4.722808976,0.000000000,0.000e+00
7,12.000000000,3.000000000,1.400000000,9.442970794,1.852459067,5.234705766,9.240607324,0.977145976,3.694234264,0.000000000,1.776e-15
8,12.100000000,3.000000000,2.250000000,9.551592209,1.917123093,5.129646522,8.977954021,0.659522551,3.000000000,0.000000000,1.776e-15
