strategy,seed,cost,cv_base,cv_res,feasible,runtime_seconds,reserve_energy_max_mwh,reserve_power_max_mw
no_reserve,20260826,44608.582638885,0.000e+00,0.000e+00,true,10.268,2.471354944,2.347787197
no_reserve,20260827,44608.350710788,0.000e+00,0.000e+00,true,11.064,2.432786760,2.311147422
no_reserve,20260828,44608.604117696,0.000e+00,0.000e+00,true,12.198,2.411901176,2.291306117
no_reserve,20260829,44608.201609839,0.000e+00,0.000e+00,true,12.171,2.412734632,2.292097901
no_reserve,20260830,44608.652100531,0.000e+00,0.000e+00,true,11.326,2.494668618,2.369935187
dynamic_reserve,20260826,44615.394647121,0.000e+00,0.000e+00,true,11.853,2.338666211,2.221732900
dynamic_reserve,20260827,44616.254217757,0.000e+00,0.000e+00,true,11.689,2.358631778,2.240700190
dynamic_reserve,20260828,44616.232010008,0.000e+00,0.000e+00,true,11.937,2.442137242,2.320030380
dynamic_reserve,20260829,44615.779852286,0.000e+00,0.000e+00,true,12.014,2.332078101,2.215474196
dynamic_reserve,20260830,44615.535653063,0.000e+00,0.000e+00,true,11.992,2.366950217,2.248602706
