hour,p_vital_mw,p_nonvital_mw,p_pv_mw,v_kn,p_propulsion_mw,p_g1_mw,p_g2_mw,p_ess_mw,energy_ess_mwh,soc,eeoi,reserve_energy_mwh,reserve_power_max_mw
0,5.500000000,1.400000000,0.000000000,10.596218182,2.617431695,4.104312400,6.388726385,-0.975607091,8.426826736,0.561788449,7.980414088,,
1,7.300000000,1.900000000,0.000000000,10.198611925,2.333704588,4.439199640,7.268339179,-0.173834231,8.591969255,0.572797950,9.053697047,0.152608635,0.144978203
2,7.900000000,2.000000000,0.000000000,10.079373729,2.252803574,4.564300113,7.596762574,-0.008259113,8.599815413,0.573321028,9.462863118,0.000000000,0.000000000
3,9.700000000,2.400000000,0.000000000,9.619026424,1.958015088,5.065607700,8.831196244,0.161211144,8.430119472,0.562007965,11.200867186,1.538160541,1.461252514
4,10.200000000,2.600000000,0.000000000,9.531318956,1.904941705,5.183183634,9.103218416,0.418539655,7.989551414,0.532636761,11.611288843,0.919732064,0.873745461
5,12.100000000,3.100000000,0.600000000,9.319502134,1.780741242,5.417696148,9.711513645,1.251531449,6.672149888,0.444809993,12.576418949,2.397392448,2.277522826
6,13.000000000,3.300000000,1.050000000,9.271932012,1.753611546,5.510106745,9.938385251,1.555119549,5.035181942,0.335678796,12.915412056,2.412734632,2.292097901
7,12.000000000,3.000000000,1.400000000,9.442970794,1.852459067,5.291190685,9.386840146,0.774428236,4.219994325,0.281332955,12.038004314,0.541130332,0.514073815
8,12.100000000,3.000000000,2.250000000,9.551592209,1.917123093,5.163568412,9.060295597,0.543259084,3.648142657,0.243209510,11.537020616,0.400297839,0.380282947
9,11.300000000,2.900000000,1.550000000,9.557368681,1.920603426,5.157613070,9.069218332,0.343772025,3.286277368,0.219085158,11.532503073,0.537166136,0.510307829
10,9.200000000,2.300000000,1.650000000,10.097811277,2.265188926,4.560921459,7.554312014,-0.000044546,3.286319687,0.219087979,9.414604793,0.000000000,0.000000000
11,11.500000000,3.000000000,2.050000000,9.566172528,1.925915855,5.132790763,8.971237349,0.271887743,3.000122063,0.200008138,11.424823194,1.917477727,1.821603841
12,9.200000000,2.300000000,2.050000000,10.191615034,2.328904677,4.461241068,7.317802485,-0.000138876,3.000253995,0.200016933,9.106467580,0.000000000,0.000000000
13,10.200000000,2.600000000,3.500000000,10.251286826,2.370051788,4.431516763,7.240897436,-0.002362411,3.002498285,0.200166552,8.984452142,0.000000000,0.000000000
14,11.300000000,2.800000000,4.200000000,10.090172072,2.260051827,4.569400592,7.590667839,-0.000016605,3.002514060,0.200167604,9.451968508,0.000000000,0.000000000
15,10.100000000,2.600000000,1.700000000,9.811152391,2.077699547,4.832018945,8.245702283,-0.000021681,3.002534657,0.200168977,10.372536723,0.512664956,0.487031708
16,9.200000000,2.300000000,1.650000000,10.113122469,2.275508596,4.562800910,7.562564059,0.000143628,3.002383470,0.200158898,9.407162006,0.000000000,0.000000000
17,9.600000000,2.400000000,1.150000000,9.867103567,2.113448847,4.808609826,8.154844435,-0.000005414,3.002388613,0.200159241,10.231126249,0.421983988,0.400884788
18,9.200000000,2.300000000,0.000000000,9.722833351,2.022093378,4.965205897,8.555627174,0.001260307,3.001061974,0.200070798,10.795881364,0.386577835,0.367248943
19,8.900000000,2.300000000,0.000000000,9.768059184,2.050442182,4.886891138,8.362838792,0.000712253,3.000312234,0.200020816,10.544517175,0.000000000,0.000000000
20,6.800000000,1.700000000,0.000000000,10.448294927,2.509336767,4.229789885,6.779250852,0.000296030,3.000000624,0.200000042,8.403320699,0.000000000,0.000000000
21,5.400000000,1.300000000,0.000000000,10.904461328,2.852563564,3.826501861,5.726118387,-0.000056684,3.000054473,0.200003632,7.238084741,0.000000000,0.000000000
22,4.800000000,1.300000000,0.000000000,11.000000000,2.928200000,3.680496539,5.347653975,0.000049486,3.000002383,0.200000159,6.902486960,0.000000000,0.000000000
23,2.800000000,0.700000000,0.000000000,11.000000000,2.928200000,2.941580599,3.486619981,-0.000000580,3.000002934,0.200000196,5.689398931,,
