hour,p_vital_mw,p_nonvital_mw,p_pv_mw,v_kn,p_propulsion_mw,p_g1_mw,p_g2_mw,p_ess_mw,energy_ess_mwh,soc,eeoi,reserve_energy_mwh,reserve_power_max_mw
0,5.500000000,1.400000000,0.000000000,10.545023309,2.579676890,4.122421619,6.511868308,-1.154613037,8.596882385,0.573125492,8.102587439,,
1,7.300000000,1.900000000,0.000000000,10.217250606,2.346523015,4.473818033,7.298379583,-0.225674601,8.811273256,0.587418217,9.078921544,0.036478639,0.034654707
2,7.900000000,2.000000000,0.000000000,10.093612064,2.262364139,4.568481098,7.594647899,-0.000764858,8.811999871,0.587466658,9.450840095,0.000000000,0.000000000
3,9.700000000,2.400000000,0.000000000,9.586585111,1.938270910,5.076013087,8.856431273,0.105826550,8.700603503,0.580040234,11.266483522,1.519603169,1.443623011
4,10.200000000,2.600000000,0.000000000,9.498828368,1.885527203,5.222819055,9.168922615,0.293785533,8.391355573,0.559423705,11.735321341,0.872732558,0.829095930
5,12.100000000,3.100000000,0.600000000,9.325436581,1.784145216,5.458208585,9.746488392,1.179448239,7.149831112,0.476655407,12.632330573,2.331813264,2.215222601
6,13.000000000,3.300000000,1.050000000,9.209134274,1.718221292,5.540040617,10.034485043,1.393695632,5.682783077,0.378852205,13.113805113,2.338666211,2.221732900
7,12.000000000,3.000000000,1.400000000,9.450548903,1.856922515,5.282361686,9.365663877,0.808896952,4.831312602,0.322087507,12.003793291,0.444671023,0.422437472
8,12.100000000,3.000000000,2.250000000,9.497064981,1.884477296,5.195206234,9.071170710,0.468100353,4.338575388,0.289238359,11.636938102,0.388224651,0.368813419
9,11.300000000,2.900000000,1.550000000,9.496163877,1.883940936,5.181273343,9.107183445,0.245484148,4.080171022,0.272011401,11.655954041,0.487126554,0.462770226
10,9.200000000,2.300000000,1.650000000,10.282574159,2.391818562,4.434480473,8.043698205,-0.236360116,4.304713132,0.286980875,9.495663348,0.000000000,0.000000000
11,11.500000000,3.000000000,2.050000000,9.409904374,1.833066881,5.027290941,8.720648707,0.535127234,3.741421307,0.249428087,11.332332899,1.304598607,1.239368677
12,9.200000000,2.300000000,2.050000000,10.199739717,2.334478878,4.468864839,7.320132023,-0.004517984,3.745713392,0.249714226,9.105624519,0.000000000,0.000000000
13,10.200000000,2.600000000,3.500000000,10.262197799,2.377627551,4.451406182,7.225801745,0.000419623,3.745271683,0.249684779,8.977690867,0.000000000,0.000000000
14,11.300000000,2.800000000,4.200000000,10.074425462,2.249487296,4.566537686,7.583678592,-0.000728982,3.745964216,0.249730948,9.460098645,0.000000000,0.000000000
15,10.100000000,2.600000000,1.700000000,9.841388009,2.096967720,4.819515352,8.194136125,0.083316243,3.658262908,0.243884194,10.294165241,0.540304345,0.513289128
16,9.200000000,2.300000000,1.650000000,10.090226930,2.260088689,4.563880709,7.544287443,0.001920537,3.656241290,0.243749419,9.416853099,0.000000000,0.000000000
17,9.600000000,2.400000000,1.150000000,9.857746428,2.107441891,4.800373937,8.145290441,0.011777513,3.643843908,0.242922927,10.228083046,0.434899418,0.413154447
18,9.200000000,2.300000000,0.000000000,9.849557288,2.102194098,4.862643693,8.371408341,0.368142064,3.256325947,0.217088396,10.446145669,0.480951218,0.456903657
19,8.900000000,2.300000000,0.000000000,9.846532314,2.100257829,4.815813295,8.241288268,0.243156266,3.000371983,0.200024799,10.320504187,0.000000000,0.000000000
20,6.800000000,1.700000000,0.000000000,10.431938639,2.497570479,4.240400788,6.756816843,0.000352848,3.000000564,0.200000038,8.409015399,0.000000000,0.000000000
21,5.400000000,1.300000000,0.000000000,10.934502816,2.876204776,3.840658583,5.735993715,-0.000447521,3.000425709,0.200028381,7.230857131,0.000000000,0.000000000
22,4.800000000,1.300000000,0.000000000,10.999617990,2.927894937,3.673836868,5.353666945,0.000391124,3.000014000,0.200000933,6.902524686,0.000000000,0.000000000
23,2.800000000,0.700000000,0.000000000,11.000000000,2.928200000,2.950947082,3.477248730,0.000004188,3.000009592,0.200000639,5.689198362,,
