strategy,runs,feasible_rate,cost_mean,cost_std,best_seed,best_cost,reserve_energy_max_mwh,normal_charge_input_mwh,normal_discharge_output_mwh,normal_end_soc,fault_cost,fault_pre_soc,fault_ess_output_mwh,fault_end_soc,fault_g2_max_mw,shed_energy_mwh,load_retention
no_reserve,5,1.000000,44608.478235548,0.193494025,20260829,44608.201609839,2.412734632,1.160347231,5.322210589,0.200000196,9435.973059681,0.532636761,4.740073843,0.200000000,13.491686996,0.000000000,1.000000000
dynamic_reserve,5,1.000000,44615.839276047,0.393646278,20260826,44615.394647121,2.338666211,1.623107099,5.739845045,0.200000639,9355.679116605,0.559423705,5.121787795,0.200000000,13.316059152,0.000000000,1.000000000
