ess_capacity_mwh,g2_max_mw,g1_fault_max_mw,no_reserve_cost,dynamic_reserve_cost,cost_increase_pct,no_reserve_pre_soc,dynamic_reserve_pre_soc,no_reserve_shed_mwh,dynamic_reserve_shed_mwh,shed_reduction_mwh
10.0,15.0,6.0,44813.21279296562,44813.408854703026,0.0004375087729414076,0.5953815401228901,0.6178638135164627,6.86245897423598e-16,2.0697547851179348e-17,6.655483495724187e-16
10.0,15.0,2.0,44813.21279296562,44822.69108289055,0.021150659223479886,0.5953815401228901,0.6290811976315576,0.0,4.3183188070687027e-13,-4.3183188070687027e-13
10.0,15.0,0.0,44813.21279296562,45397.35793083863,1.3035109546189612,0.5953815401228901,0.8245092308286155,2.844077729484408,1.4792750594061691e-16,2.844077729484408
10.0,16.0,6.0,44813.21279296562,44813.408854703026,0.0004375087729414076,0.5953815401228901,0.6178638135164627,6.86245897423598e-16,2.0697547851179348e-17,6.655483495724187e-16
10.0,16.0,2.0,44813.21279296562,44821.769430423505,0.019094005817917915,0.5953815401228901,0.6329692863391705,0.0,0.0,0.0
10.0,16.0,0.0,44813.21279296562,45338.118790765264,1.1713197181926644,0.5953815401228901,0.8542796764601072,2.199697681151672,9.566252193026655e-13,2.1996976811507154
10.0,17.0,6.0,44813.21279296562,44813.408854703026,0.0004375087729414076,0.5953815401228901,0.6178638135164627,6.86245897423598e-16,2.0697547851179348e-17,6.655483495724187e-16
10.0,17.0,2.0,44813.21279296562,44821.769430423505,0.019094005817917915,0.5953815401228901,0.6329692863391705,0.0,0.0,0.0
10.0,17.0,0.0,44813.21279296562,45506.955993378026,1.5480773574915463,0.5953815401228901,0.7206612272721495,2.1996976811518745,0.0,2.1996976811518745
10.0,18.0,6.0,44813.21279296562,44813.408854703026,0.0004375087729414076,0.5953815401228901,0.6178638135164627,6.86245897423598e-16,2.0697547851179348e-17,6.655483495724187e-16
10.0,18.0,2.0,44813.21279296562,44821.769430423505,0.019094005817917915,0.5953815401228901,0.6329692863391705,0.0,0.0,0.0
10.0,18.0,0.0,44813.21279296562,45371.620706558526,1.2460787316738868,0.5953815401228901,0.7539049898241881,2.199697681151775,4.159743155132307e-13,2.199697681151359
10.0,19.0,6.0,44813.21279296562,44813.408854703026,0.0004375087729414076,0.5953815401228901,0.6178638135164627,6.86245897423598e-16,2.0697547851179348e-17,6.655483495724187e-16
10.0,19.0,2.0,44813.21279296562,44821.769430423505,0.019094005817917915,0.5953815401228901,0.6329692863391705,0.0,0.0,0.0
10.0,19.0,0.0,44813.21279296562,45371.620706558526,1.2460787316738868,0.5953815401228901,0.7539049898241881,2.199697681151651,0.0,2.199697681151651
10.0,20.0,6.0,44813.21279296562,44813.408854703026,0.0004375087729414076,0.5953815401228901,0.6178638135164627,6.86245897423598e-16,2.0697547851179348e-17,6.655483495724187e-16
10.0,20.0,2.0,44813.21279296562,44821.769430423505,0.019094005817917915,0.5953815401228901,0.6329692863391705,0.0,0.0,0.0
10.0,20.0,0.0,44813.21279296562,45371.620706558526,1.2460787316738868,0.5953815401228901,0.7539049898241881,2.1996976811518354,0.0,2.1996976811518354
12.0,15.0,6.0,44730.72712701974,44731.19690045164,0.0010502253419024524,0.5702641297906836,0.5655937931052438,1.4531265123942779e-15,1.6420473777562276e-15,-1.8892086536194966e-16
