ess_capacity_mwh,ess_power_max_mw,g2_max_mw,g2_ramp_mw_per_h,g1_fault_max_mw,strategy,seed,normal_cost,normal_cv_base,normal_cv_res,reserve_energy_max_mwh,reserve_power_max_mw,fault_pre_soc,fault_end_soc,fault_ess_output_mwh,fault_g2_max_mw,shed_energy_mwh,load_retention
10.0,3.0,15.0,3.0,6.0,dynamic_reserve,20260826,44813.408854703026,0.0,0.0,0.0,0.0,0.6178638135164627,0.1999999999999753,3.969706228406629,9.96372128951583,2.0697547851179348e-17,1.0
10.0,3.0,15.0,3.0,6.0,no_reserve,20260826,44813.21279296562,0.0,0.0,0.0,0.0,0.5953815401228901,0.19999999999997634,3.7561246311676806,9.998611088040036,6.86245897423598e-16,1.0
10.0,3.0,15.0,3.0,2.0,dynamic_reserve,20260826,44822.69108289055,0.0,0.0,2.24853785456979,2.1361109618413003,0.6290811976315576,0.20000000000001075,4.076271377499695,13.626118707481497,4.3183188070687027e-13,0.9999999999999651
10.0,3.0,15.0,3.0,2.0,no_reserve,20260826,44813.21279296562,0.0,0.0,2.289241090559388,2.1747790360314188,0.5953815401228901,0.19999999999999923,3.756124631167477,13.770351092163045,0.0,1.0
10.0,3.0,15.0,3.0,0.0,dynamic_reserve,20260826,45397.35793083863,0.0,0.0,4.476459653987941,2.7840330662311086,0.8245092308286155,0.1999999999999999,5.932837692871848,14.97891000918715,1.4792750594061691e-16,1.0
10.0,3.0,15.0,3.0,0.0,no_reserve,20260826,44813.21279296562,0.0,0.0,6.476238753442361,4.174779036031419,0.5953815401228901,0.19999999999999937,3.7561246311674656,15.0,2.844077729484408,0.7706388927835155
10.0,3.0,16.0,3.0,6.0,dynamic_reserve,20260826,44813.408854703026,0.0,0.0,0.0,0.0,0.6178638135164627,0.1999999999999753,3.969706228406629,9.96372128951583,2.0697547851179348e-17,1.0
10.0,3.0,16.0,3.0,6.0,no_reserve,20260826,44813.21279296562,0.0,0.0,0.0,0.0,0.5953815401228901,0.19999999999997634,3.7561246311676806,9.998611088040036,6.86245897423598e-16,1.0
10.0,3.0,16.0,3.0,2.0,dynamic_reserve,20260826,44821.769430423505,0.0,0.0,2.24695060303868,2.134603072886746,0.6329692863391705,0.2000000000000064,4.113208220222058,13.621624563192865,0.0,1.0
10.0,3.0,16.0,3.0,2.0,no_reserve,20260826,44813.21279296562,0.0,0.0,2.289241090559388,2.1747790360314188,0.5953815401228901,0.19999999999999923,3.756124631167477,13.770351092163045,0.0,1.0
10.0,3.0,16.0,3.0,0.0,dynamic_reserve,20260826,45338.118790765264,0.0,0.0,3.9299860544727703,2.9968008397882766,0.8542796764601072,0.19999999999999368,6.215656926371077,15.033185578498856,9.566252193026655e-13,0.9999999999999228
10.0,3.0,16.0,3.0,0.0,no_reserve,20260826,44813.21279296562,0.0,0.0,6.269286644546223,4.174779036031419,0.5953815401228901,0.2000000000000012,3.7561246311674448,15.447775544881605,2.199697681151672,0.8226050257135749
10.0,3.0,17.0,3.0,6.0,dynamic_reserve,20260826,44813.408854703026,0.0,0.0,0.0,0.0,0.6178638135164627,0.1999999999999753,3.969706228406629,9.96372128951583,2.0697547851179348e-17,1.0
10.0,3.0,17.0,3.0,6.0,no_reserve,20260826,44813.21279296562,0.0,0.0,0.0,0.0,0.5953815401228901,0.19999999999997634,3.7561246311676806,9.998611088040036,6.86245897423598e-16,1.0
10.0,3.0,17.0,3.0,2.0,dynamic_reserve,20260826,44821.769430423505,0.0,0.0,2.24695060303868,2.134603072886746,0.6329692863391705,0.2000000000000064,4.113208220222058,13.621624563192865,0.0,1.0
10.0,3.0,17.0,3.0,2.0,no_reserve,20260826,44813.21279296562,0.0,0.0,2.289241090559388,2.1747790360314188,0.5953815401228901,0.19999999999999923,3.756124631167477,13.770351092163045,0.0,1.0
10.0,3.0,17.0,3.0,0.0,dynamic_reserve,20260826,45506.955993378026,0.0,0.0,4.531530291950952,2.980061663027694,0.7206612272721495,0.2000000000000001,4.946281659085419,15.073494631659731,0.0,1.0
10.0,3.0,17.0,3.0,0.0,no_reserve,20260826,44813.21279296562,0.0,0.0,6.269286644546223,4.174779036031419,0.5953815401228901,0.20000000000000195,3.7561246311674377,15.447775544881525,2.1996976811518745,0.8226050257135585
10.0,3.0,18.0,3.0,6.0,dynamic_reserve,20260826,44813.408854703026,0.0,0.0,0.0,0.0,0.6178638135164627,0.1999999999999753,3.969706228406629,9.96372128951583,2.0697547851179348e-17,1.0
10.0,3.0,18.0,3.0,6.0,no_reserve,20260826,44813.21279296562,0.0,0.0,0.0,0.0,0.5953815401228901,0.19999999999997634,3.7561246311676806,9.998611088040036,6.86245897423598e-16,1.0
10.0,3.0,18.0,3.0,2.0,dynamic_reserve,20260826,44821.769430423505,0.0,0.0,2.24695060303868,2.134603072886746,0.6329692863391705,0.2000000000000064,4.113208220222058,13.621624563192865,0.0,1.0
10.0,3.0,18.0,3.0,2.0,no_reserve,20260826,44813.21279296562,0.0,0.0,2.289241090559388,2.1747790360314188,0.5953815401228901,0.19999999999999923,3.756124631167477,13.770351092163045,0.0,1.0
10.0,3.0,18.0,3.0,0.0,dynamic_reserve,20260827,45371.620706558526,0.0,0.0,3.2576241411817293,2.982593988562904,0.7539049898241881,0.19999999999995052,5.262097403330257,15.242930717479638,4.159743155132307e-13,0.9999999999999665
10.0,3.0,18.0,3.0,0.0,no_reserve,20260826,44813.21279296562,0.0,0.0,6.269286644546223,4.174779036031419,0.5953815401228901,0.20000000000000254,3.7561246311674337,15.447775544881555,2.199697681151775,0.8226050257135665
10.0,3.0,19.0,3.0,6.0,dynamic_reserve,20260826,44813.408854703026,0.0,0.0,0.0,0.0,0.6178638135164627,0.1999999999999753,3.969706228406629,9.96372128951583,2.0697547851179348e-17,1.0
10.0,3.0,19.0,3.0,6.0,no_reserve,20260826,44813.21279296562,0.0,0.0,0.0,0.0,0.5953815401228901,0.19999999999997634,3.7561246311676806,9.998611088040036,6.86245897423598e-16,1.0
10.0,3.0,19.0,3.0,2.0,dynamic_reserve,20260826,44821.769430423505,0.0,0.0,2.24695060303868,2.134603072886746,0.6329692863391705,0.2000000000000064,4.113208220222058,13.621624563192865,0.0,1.0
10.0,3.0,19.0,3.0,2.0,no_reserve,20260826,44813.21279296562,0.0,0.0,2.289241090559388,2.1747790360314188,0.5953815401228901,0.19999999999999923,3.756124631167477,13.770351092163045,0.0,1.0
10.0,3.0,19.0,3.0,0.0,dynamic_reserve,20260827,45371.620706558526,0.0,0.0,3.2576241411817293,2.982593988562904,0.7539049898241881,0.2000000000000015,5.262097403329771,15.242943749481915,0.0,1.0
10.0,3.0,19.0,3.0,0.0,no_reserve,20260826,44813.21279296562,0.0,0.0,6.269286644546223,4.174779036031419,0.5953815401228901,0.2000000000000009,3.7561246311674474,15.447775544881614,2.199697681151651,0.8226050257135765
10.0,3.0,20.0,3.0,6.0,dynamic_reserve,20260826,44813.408854703026,0.0,0.0,0.0,0.0,0.6178638135164627,0.1999999999999753,3.969706228406629,9.96372128951583,2.0697547851179348e-17,1.0
10.0,3.0,20.0,3.0,6.0,no_reserve,20260826,44813.21279296562,0.0,0.0,0.0,0.0,0.5953815401228901,0.19999999999997634,3.7561246311676806,9.998611088040036,6.86245897423598e-16,1.0
