hour,p_vital_mw,p_nonvital_mw,p_load_mw,p_pv_mw,v_kn,p_propulsion_mw,p_ess_mw,energy_ess_mwh,soc,p_g1_mw,p_g2_mw,eeoi,co2_g1,co2_g2,cost_g1,cost_g2,cost_ess,cost_pv
0,5.500000,1.400000,6.900000,0.000000,10.933266753270,2.875229486838,0.788821264495,36.669661826847,0.488928824358,3.740528271551,5.245879950792,6.922233017042,676.291231344134,837.361170728186,656.776512012100,755.885891023433,3.675627645476,0.000000000000
1,7.300000,1.900000,9.200000,0.000000,10.659703937226,2.664760051778,1.787342041431,34.788249151656,0.463843322022,3.986354515420,6.091063494927,7.695333389523,704.392346509438,936.207166101779,684.419544378973,849.660785132216,14.736743764192,0.000000000000
2,7.900000,2.000000,9.900000,0.000000,10.183243524417,2.323170423174,0.856749356779,33.886407723467,0.451818769646,4.382590878926,6.983830187468,8.846926524733,753.121796751899,1048.686348127575,732.283427103728,956.783367002767,4.156283679469,0.000000000000
3,9.700000,2.400000,12.100000,0.000000,9.532280388011,1.905518221990,1.808297866114,31.982936285453,0.426439150473,4.318966510661,7.878253845216,10.043231909850,745.011533329407,1169.686518000703,724.322730490624,1072.416994929409,15.060747042147,0.000000000000
4,10.200000,2.600000,12.800000,0.000000,9.571313821702,1.929022746743,2.261799430711,29.602094779441,0.394694597059,4.560502586825,7.906720729206,10.186975144556,776.380507768210,1173.674212280200,755.102421019640,1076.233887904962,22.997667658497,0.000000000000
5,12.100000,3.100000,15.200000,0.600000,9.568319175525,1.927212671299,3.000000000000,26.444200042599,0.352589333901,4.897073658442,8.630139012857,10.976635907508,822.718697203244,1277.840419528158,800.522179312024,1176.059585451015,39.700000000000,6.120000000000
6,13.000000,3.300000,16.300000,1.050000,9.334788330228,1.789518138111,2.000037589115,24.338897317214,0.324518630896,5.415909582758,9.623570966238,12.479648054153,900.142130043880,1429.755330381282,876.307910905090,1322.013904583856,18.200646538855,10.710000000000
7,12.000000,3.000000,15.000000,1.400000,9.181382660326,1.702734538922,1.031080137141,23.253549804435,0.310047330726,5.155884544289,9.115769857492,12.042040914953,860.431308802450,1350.820404227235,837.451505174007,1246.125785082285,5.571442871586,14.280000000000
8,12.100000,3.000000,15.100000,2.250000,9.609751848512,1.952356847853,1.322149528449,21.861813458699,0.291490846116,5.014442900849,8.465764418555,10.891493741738,839.597036687818,1253.694005666580,817.053603686578,1152.899419155253,8.516741314987,22.950000000000
9,11.300000,2.900000,14.200000,1.550000,9.190796483340,1.707977436265,0.354033580705,21.489146531641,0.286521953755,5.234157627358,8.769786228202,11.809467470540,872.193058191993,1298.575183775180,848.963170412694,1195.956466405969,1.538961037947,15.810000000000
