hour,p_vital_mw,p_nonvital_mw,p_load_mw,p_pv_mw,v_kn,p_propulsion_mw,p_ess_mw,energy_ess_mwh,soc,p_g1_mw,p_g2_mw,eeoi,co2_g1,co2_g2,cost_g1,cost_g2,cost_ess,cost_pv
0,5.500000,1.400000,6.900000,0.000000,10.959724024247,2.896153230426,0.879178917208,36.574548508202,0.487660646776,3.670384906389,5.246589406828,6.870671039719,668.572141438077,837.441027696033,649.177048570330,755.961491255062,4.323708944391,0.000000000000
1,7.300000,1.900000,9.200000,0.000000,10.039437220062,2.226131349606,0.007312053041,36.566851610264,0.487558021470,4.482723357237,6.936095939329,9.007326285330,766.107150988852,1042.462584254823,745.025193354567,950.846008618852,1.000229904315,0.000000000000
2,7.900000,2.000000,9.900000,0.000000,9.293413353741,1.765828180645,-0.978761308600,37.496674853434,0.499955664712,4.686513076110,7.958076413135,10.621827253189,793.371095730534,1180.889528987772,771.762419476479,1083.141070508962,5.119286906615,0.000000000000
3,9.700000,2.400000,12.100000,0.000000,9.300946524134,1.770125763150,-0.035914628634,37.530793750637,0.500410583342,4.976070917669,8.929969474116,11.593695771085,834.038013175225,1322.608874503625,811.609514121728,1219.029057658931,1.005546400365,0.000000000000
4,10.200000,2.600000,12.800000,0.000000,9.608606562372,1.951658887865,0.960992288720,36.519222920405,0.486922972272,5.712800715242,8.077865883903,11.164685671609,947.715249315301,1197.826190905707,922.822804739751,1099.358995602287,4.971076569610,0.000000000000
5,12.100000,3.100000,15.200000,0.600000,8.737696829721,1.467619916673,0.469062388163,36.025473038129,0.480339640508,5.526064870806,10.072492657705,13.843960475386,917.515453618902,1501.771137512327,893.298886882335,1391.336181566099,1.946083953152,6.120000000000
6,13.000000,3.300000,16.300000,1.050000,9.157843387791,1.689671650204,1.438291813526,34.511481655470,0.460153088740,5.443724593865,10.057655242814,13.124572208599,904.498101565639,1499.357434796315,880.568482026444,1389.011503339434,9.895338365677,10.710000000000
7,12.000000,3.000000,15.000000,1.400000,9.567842583420,1.926924705803,2.206227480914,32.189136938718,0.429188492516,4.928508065185,8.392189159704,10.818424240945,827.202669257802,1242.976933502494,804.914589513877,1142.623798544272,21.929990699430,14.280000000000
8,12.100000,3.000000,15.100000,2.250000,9.550493520712,1.916461608482,1.648448570938,30.453927916678,0.406052372222,5.033565405414,8.084447632130,10.686061813981,842.382193376950,1198.761088950101,819.780933842488,1100.254403157322,12.684745571422,22.950000000000
9,11.300000,2.900000,14.200000,1.550000,10.029289997389,2.219388075219,0.796960856091,29.615021752372,0.394866956698,6.638010321587,7.434416897541,11.066766000898,1111.233047114098,1108.603064010836,1082.477477242523,1013.996562625592,3.731130406407,15.810000000000
10,9.200000,2.300000,11.500000,1.650000,10.107480854535,2.271702536436,0.291654770139,29.308016731173,0.390773556416,4.838325027643,6.991722738654,9.221524730423,814.410002763564,1049.717690483825,792.381958282291,957.767354051901,1.365768771263,16.830000000000
11,11.500000,3.000000,14.500000,2.050000,9.579286514410,1.933847263069,0.783450631294,28.483331856127,0.379777758082,5.493270652920,8.107125978855,11.035763832354,912.309009823407,1201.985863286151,888.207539896129,1103.343107413020,3.639318034199,20.910000000000
12,9.200000,2.300000,11.500000,2.050000,10.028850585479,2.219096374762,-0.170160220992,28.644984066069,0.381933120881,4.858439814079,6.980816781675,9.300851758268,817.244303405613,1048.292748621555,795.158964320258,956.407847931507,1.124504353474,20.910000000000
13,10.200000,2.600000,12.800000,3.500000,10.291164776928,2.397818334897,0.779439131803,27.824521822066,0.370993624294,4.200011156586,6.718368046508,8.475796477462,730.141376724397,1014.374986580860,709.721352179845,924.064778301811,3.612359048798,35.700000000000
14,11.300000,2.800000,14.100000,4.200000,10.138648236410,2.292782439658,1.207324777523,26.553653635200,0.354048715136,4.201111072934,6.784346589201,8.645686531879,730.277123065591,1022.834367114109,709.854678087894,932.128287578905,7.267822409211,42.840000000000
15,10.100000,2.600000,12.700000,1.700000,10.248611524163,2.368196718913,1.546918473795,24.925318399627,0.332337578662,5.189078093766,6.632200151352,9.117304183453,865.398955690962,1003.395218785896,842.313846146891,913.602017877785,11.289714087639,17.340000000000
