strategy,runs,feasible_rate,cost_mean,cost_std,best_seed,best_cost,reserve_energy_max_mwh,fault_cost,shed_energy_mwh,load_retention
no_reserve,5,1.000000,42356.938054952,0.097265327,20260830,42356.838449058,0.000000000,7752.396823106,0.000000000,1.000000000
dynamic_reserve,5,1.000000,42356.938054952,0.097265327,20260830,42356.838449058,0.000000000,7752.396823106,0.000000000,1.000000000
