hour,p_vital_mw,p_nonvital_mw,p_load_mw,p_pv_mw,v_kn,p_propulsion_mw,p_ess_mw,energy_ess_mwh,soc,p_g1_mw,p_g2_mw,eeoi,co2_g1,co2_g2,cost_g1,cost_g2,cost_ess,cost_pv
0,5.500000,1.400000,6.900000,0.000000,10.496907685809,2.544525540189,0.210756825712,37.278150709777,0.497042009464,3.677079714344,5.556689000133,7.345736871307,669.303152689531,872.847283757513,649.896854505400,789.507149756717,1.190999290213,0.000000000000
1,7.300000,1.900000,9.200000,0.000000,10.262340629078,2.377726828090,0.148932662066,37.121379486550,0.494951726487,4.226339881466,7.202454284558,8.823006025801,733.399707529158,1077.494156654365,712.921412895256,984.279430947016,1.095378032669,0.000000000000
2,7.900000,2.000000,9.900000,0.000000,10.151427795826,2.301463389202,0.778882951583,36.301502695409,0.484020035939,4.353117725115,7.069462712503,8.911367370332,749.351235288803,1059.910813151271,728.582653774677,967.494036876250,3.608632204749,0.000000000000
3,9.700000,2.400000,12.100000,0.000000,9.611437457075,1.953384393648,1.480130926050,34.743470141672,0.463246268556,4.727743828885,7.845509638713,10.217689086393,799.023521394895,1165.110070799239,777.303228196885,1068.037012966962,10.420386500476,0.000000000000
4,10.200000,2.600000,12.800000,0.000000,9.573618806882,1.930416737097,1.882106438355,32.762305469720,0.436830739596,4.817436654062,8.030873644680,10.459172320192,811.478261405313,1191.164315174834,789.509286755486,1092.979073306756,16.231995974778,0.000000000000
5,12.100000,3.100000,15.200000,0.600000,9.350756418489,1.798717305079,2.386969069932,30.249706448739,0.403329419317,5.196918740697,8.814829494450,11.613408900482,866.576706772000,1305.306449562428,843.466562054690,1202.417472595730,25.499771765489,6.120000000000
6,13.000000,3.300000,16.300000,1.050000,8.979310436504,1.592764766519,1.974953281830,28.170808257338,0.375610776765,5.377329551827,9.490481932861,12.823606762086,894.134882489104,1408.808038159383,870.431705038282,1301.865146562215,17.771894001276,10.710000000000
7,12.000000,3.000000,15.000000,1.400000,9.452312258526,1.857962145573,1.768397191261,26.309337529696,0.350791167063,5.055220841747,8.634344112566,11.235399125206,845.548188161689,1278.461829450677,822.881000965767,1176.655764775281,14.447083092050,14.280000000000
8,12.100000,3.000000,15.100000,2.250000,9.326077618033,1.784513171015,1.463713413211,24.768586568421,0.330247820912,4.913765084145,8.257034673659,10.982822879697,825.096329420685,1223.436843402600,802.851315937893,1123.894635360648,10.212564910857,22.950000000000
9,11.300000,2.900000,14.200000,1.550000,9.458890539758,1.861843959393,1.529167258965,23.158936822143,0.308785824295,4.785513271172,8.197163429257,10.687628191291,807.020485837287,1214.841617983824,785.140943745350,1115.658637408282,11.054915775323,15.810000000000
10,9.200000,2.300000,11.500000,1.650000,10.450760918838,2.511113936915,0.594408361170,22.533243810385,0.300443250805,4.526394225479,7.240311350266,8.872025119249,771.855245494877,1082.533022249100,750.663911603610,989.091154147506,2.519281589263,16.830000000000
